catalog_order,canonical_code,work_slug,title,title_english,title_transliterated,genre,pitaka_division,section_key,section_label,section_title,fascicle_count,volume_ref,translator_slug,translator_name,translator_native_name,translator_role,notes
1110,T0113,t0113,佛說難提釋經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1111,T0114,t0114,佛說馬有三相經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 支曜譯。
1112,T0115,t0115,佛說馬有八態譬人經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 支曜譯。
1113,T0116,t0116,佛說戒德香經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 竺曇無蘭譯。
1114,T0117,t0117,佛說戒香經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1115,T0118,t0118,佛說鴦掘摩經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1116,T0119,t0119,佛說鴦崛髻經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1117,T0120,t0120,央掘魔羅經,,,sutra,sutra,agamas,阿含部,阿含部,4,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 求那跋陀羅譯。
1118,T0121,t0121,佛說月喻經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1119,T0122,t0122,佛說波斯匿王太后崩塵土坌身經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1120,T0123,t0123,佛說放牛經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後秦 鳩摩羅什譯。
1121,T0124,t0124,緣起經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 玄奘譯。
1122,T0126,t0126,佛說阿羅漢具德經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1123,T0127,t0127,佛說四人出現世間經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 求那跋陀羅譯。
1124,T0128a,t0128a,須摩提女經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1125,T0128b,t0128b,須摩提女經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1126,T0129,t0129,佛說三摩竭經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 竺律炎譯。
1127,T0130,t0130,佛說給孤長者女得度因緣經,,,sutra,sutra,agamas,阿含部,阿含部,3,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1128,T0131,t0131,佛說婆羅門避死經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1129,T0132a,t0132a,佛說食施獲五福報經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1130,T0132b,t0132b,施食獲五福報經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1131,T0133,t0133,頻毘娑羅王詣佛供養經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1132,T0134,t0134,佛說長者子六過出家經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 慧簡譯。
1133,T0135,t0135,佛說力士移山經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1134,T0136,t0136,佛說四未曾有法經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1135,T0137,t0137,舍利弗摩訶目連遊四衢經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 康孟詳譯。
1136,T0138,t0138,佛說十一想思念如來經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 求那跋陀羅譯。
1137,T0139,t0139,佛說四泥犁經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 竺曇無蘭譯。
1138,T0140,t0140,阿那邠邸化七子經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1139,T0141,t0141,佛說阿遬達經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 求那跋陀羅譯。
1140,T0142a,t0142a,佛說玉耶女經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1141,T0142b,t0142b,玉耶女經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1142,T0143,t0143,玉耶經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 竺曇無蘭譯。
1143,T0144,t0144,佛說大愛道般泥洹經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 白法祖譯。
1144,T0145,t0145,佛母般泥洹經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 慧簡譯。
1145,T0146,t0146,舍衛國王夢見十事經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1146,T0147,t0147,佛說舍衛國王十夢經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1147,T0148,t0148,國王不梨先泥十夢經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 竺曇無蘭譯。
1148,T0149,t0149,佛說阿難同學經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1149,T0150A,t0150a,七處三觀經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1150,T0150B,t0150b,九橫經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1151,T0151,t0151,佛說阿含正行經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1001,T0152,t0152,六度集經,,,sutra,sutra,avadana,本緣部,本緣部,8,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 康僧會譯。
1002,T0153,t0153,菩薩本緣經,,,sutra,sutra,avadana,本緣部,本緣部,3,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1003,T0154,t0154,生經,,,sutra,sutra,avadana,本緣部,本緣部,5,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1004,T0155,t0155,菩薩本行經,,,sutra,sutra,avadana,本緣部,本緣部,3,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1005,T0156,t0156,大方便佛報恩經,,,sutra,sutra,avadana,本緣部,本緣部,7,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1006,T0157,t0157,悲華經,,,sutra,sutra,avadana,本緣部,本緣部,10,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：北涼 曇無讖譯。
1007,T0158,t0158,大乘悲分陀利經,,,sutra,sutra,avadana,本緣部,本緣部,8,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1008,T0159,t0159,大乘本生心地觀經,,,sutra,sutra,avadana,本緣部,本緣部,8,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 般若譯。
1009,T0160,t0160,菩薩本生鬘論,,,sutra,sutra,avadana,本緣部,本緣部,16,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 紹德慧詢等譯。
1010,T0161,t0161,長壽王經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1011,T0162,t0162,金色王經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東魏 瞿曇般若流支譯。
1012,T0163,t0163,妙色王因緣經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 義淨譯。
1013,T0164,t0164,師子素馱娑王斷肉經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 智嚴譯。
1014,T0165,t0165,頂生王因緣經,,,sutra,sutra,avadana,本緣部,本緣部,6,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護等譯。
1015,T0166,t0166,月光菩薩經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1016,T0167,t0167,太子慕魄經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1017,T0168,t0168,太子墓魄經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1018,T0169,t0169,月明菩薩經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1019,T0170,t0170,德光太子經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1020,T0171,t0171,太子須大拏經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西秦 聖堅譯。
1021,T0172,t0172,菩薩投身飴餓虎起塔因緣經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：北涼 法盛譯。
1022,T0173,t0173,福力太子因緣經,,,sutra,sutra,avadana,本緣部,本緣部,4,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護等譯。
1023,T0174,t0174,菩薩睒子經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1024,T0175a,t0175a,睒子經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西秦 聖堅譯。
1025,T0175b,t0175b,佛說睒子經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：乞伏秦 聖堅譯。
1026,T0175c,t0175c,佛說睒子經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：姚秦 聖堅譯。
1027,T0176,t0176,師子月佛本生經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1028,T0177,t0177,大意經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 求那跋陀羅譯。
1029,T0178,t0178,前世三轉經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1030,T0179,t0179,銀色女經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：元魏 佛陀扇多譯。
1031,T0180,t0180,過去世佛分衛經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1032,T0181a,t0181a,九色鹿經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1033,T0181b,t0181b,佛說九色鹿經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1034,T0182a,t0182a,鹿母經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1035,T0182b,t0182b,佛說鹿母經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1036,T0183,t0183,一切智光明仙人慈心因緣不食肉經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1037,T0184,t0184,修行本起經,,,sutra,sutra,avadana,本緣部,本緣部,2,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 竺大力共康孟詳譯。
1038,T0185,t0185,太子瑞應本起經,,,sutra,sutra,avadana,本緣部,本緣部,2,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1039,T0186,t0186,普曜經,,,sutra,sutra,avadana,本緣部,本緣部,8,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1040,T0187,t0187,方廣大莊嚴經,,,sutra,sutra,avadana,本緣部,本緣部,12,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 地婆訶羅譯。
1041,T0188,t0188,異出菩薩本起經,,,sutra,sutra,avadana,本緣部,本緣部,1,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 聶道真譯。
1042,T0189,t0189,過去現在因果經,,,sutra,sutra,avadana,本緣部,本緣部,4,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 求那跋陀羅譯。
1043,T0191,t0191,眾許摩訶帝經,,,sutra,sutra,avadana,本緣部,本緣部,13,T03,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1044,T0192,t0192,佛所行讚,,,sutra,sutra,avadana,本緣部,本緣部,5,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：馬鳴菩薩造 北涼 曇無讖譯。
1045,T0193,t0193,佛本行經,,,sutra,sutra,avadana,本緣部,本緣部,7,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 釋寶雲譯。
1046,T0194,t0194,僧伽羅剎所集經,,,sutra,sutra,avadana,本緣部,本緣部,3,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：符秦 僧伽跋澄等譯。
1047,T0195,t0195,佛說十二遊經,,,sutra,sutra,avadana,本緣部,本緣部,1,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 迦留陀伽譯。
1048,T0196,t0196,中本起經,,,sutra,sutra,avadana,本緣部,本緣部,2,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 曇果共康孟詳譯。
1049,T0197,t0197,佛說興起行經,,,sutra,sutra,avadana,本緣部,本緣部,2,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 康孟詳譯。
1050,T0198,t0198,佛說義足經,,,sutra,sutra,avadana,本緣部,本緣部,2,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1051,T0199,t0199,佛五百弟子自說本起經,,,sutra,sutra,avadana,本緣部,本緣部,1,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1052,T0200,t0200,撰集百緣經,,,sutra,sutra,avadana,本緣部,本緣部,10,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1053,T0201,t0201,大莊嚴論經,,,sutra,sutra,avadana,本緣部,本緣部,15,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：馬鳴菩薩造 後秦 鳩摩羅什譯。
1054,T0202,t0202,賢愚經,,,sutra,sutra,avadana,本緣部,本緣部,13,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：元魏 慧覺等譯。
1055,T0203,t0203,雜寶藏經,,,sutra,sutra,avadana,本緣部,本緣部,10,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：元魏 吉迦夜共曇曜譯。
1056,T0204,t0204,雜譬喻經,,,sutra,sutra,avadana,本緣部,本緣部,1,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 支婁迦讖譯。
1057,T0205,t0205,雜譬喻經,,,sutra,sutra,avadana,本緣部,本緣部,2,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1058,T0206,t0206,舊雜譬喻經,,,sutra,sutra,avadana,本緣部,本緣部,2,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 康僧會譯。
1059,T0207,t0207,雜譬喻經,,,sutra,sutra,avadana,本緣部,本緣部,1,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：道略集。
1060,T0208,t0208,眾經撰雜譬喻,,,sutra,sutra,avadana,本緣部,本緣部,2,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：道略集 姚秦 鳩摩羅什譯。
1061,T0209,t0209,百喻經,,,sutra,sutra,avadana,本緣部,本緣部,4,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：僧伽斯那撰 蕭齊 求那毘地譯。
1062,T0210,t0210,法句經,,,sutra,sutra,avadana,本緣部,本緣部,2,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：法救撰 吳 維祇難等譯。
1063,T0211,t0211,法句譬喻經,,,sutra,sutra,avadana,本緣部,本緣部,4,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：晉世 法炬共法立譯。
1064,T0212,t0212,出曜經,,,sutra,sutra,avadana,本緣部,本緣部,30,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：姚秦 竺佛念譯。
1065,T0213,t0213,法集要頌經,,,sutra,sutra,avadana,本緣部,本緣部,4,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：法救集 宋 天息災譯。
1066,T0214,t0214,猘狗經,,,sutra,sutra,avadana,本緣部,本緣部,1,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1067,T0215,t0215,群牛譬經,,,sutra,sutra,avadana,本緣部,本緣部,1,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1068,T0216,t0216,大魚事經,,,sutra,sutra,avadana,本緣部,本緣部,1,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 竺曇無蘭譯。
1069,T0217,t0217,譬喻經,,,sutra,sutra,avadana,本緣部,本緣部,1,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 義淨譯。
1070,T0218,t0218,灌頂王喻經,,,sutra,sutra,avadana,本緣部,本緣部,1,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護等譯。
1071,T0219,t0219,醫喻經,,,sutra,sutra,avadana,本緣部,本緣部,1,T04,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1001,T0224,t0224,道行般若經,,,sutra,sutra,prajna,般若部,般若部,10,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 支婁迦讖譯。
1002,T0228,t0228,佛說佛母出生三法藏般若波羅蜜多經,,,sutra,sutra,prajna,般若部,般若部,25,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1003,T0229,t0229,佛說佛母寶德藏般若波羅蜜經,,,sutra,sutra,prajna,般若部,般若部,3,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1004,T0230,t0230,聖八千頌般若波羅蜜多一百八名真實圓義陀羅尼經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護等譯。
1005,T0231,t0231,勝天王般若波羅蜜經,,,sutra,sutra,prajna,般若部,般若部,7,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：陳 月婆首那譯。
1006,T0232,t0232,文殊師利所說摩訶般若波羅蜜經,,,sutra,sutra,prajna,般若部,般若部,2,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：梁 曼陀羅仙譯。
1007,T0233,t0233,文殊師利所說般若波羅蜜經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：梁 僧伽婆羅譯。
1008,T0234,t0234,佛說濡首菩薩無上清淨分衛經,,,sutra,sutra,prajna,般若部,般若部,2,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 翔公譯。
1009,T0236a,t0236a,金剛般若波羅蜜經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：元魏 菩提流支譯。
1010,T0236b,t0236b,金剛般若波羅蜜經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：元魏 菩提流支譯。
1011,T0237,t0237,金剛般若波羅蜜經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：陳 真諦譯。
1012,T0238,t0238,金剛能斷般若波羅蜜經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：隋 笈多譯。
1013,T0239,t0239,佛說能斷金剛般若波羅蜜多經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 義淨譯。
1014,T0240,t0240,實相般若波羅蜜經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 菩提流志譯。
1015,T0241,t0241,金剛頂瑜伽理趣般若經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 金剛智譯。
1016,T0242,t0242,佛說遍照般若波羅蜜經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1017,T0243,t0243,大樂金剛不空真實三麼耶經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 不空譯。
1018,T0244,t0244,佛說最上根本大樂金剛不空三昧大教王經,,,sutra,sutra,prajna,般若部,般若部,7,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1019,T0245,t0245,佛說仁王般若波羅蜜經,,,sutra,sutra,prajna,般若部,般若部,2,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後秦 鳩摩羅什譯。
1020,T0246,t0246,仁王護國般若波羅蜜多經,,,sutra,sutra,prajna,般若部,般若部,2,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 不空譯。
1021,T0247,t0247,佛說了義般若波羅蜜多經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1022,T0248,t0248,佛說五十頌聖般若波羅蜜經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1023,T0249,t0249,佛說帝釋般若波羅蜜多心經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1024,T0250,t0250,摩訶般若波羅蜜大明呪經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：姚秦 鳩摩羅什譯。
1025,T0252,t0252,普遍智藏般若波羅蜜多心經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 法月重譯。
1026,T0253,t0253,般若波羅蜜多心經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 般若共利言等譯。
1027,T0254,t0254,般若波羅蜜多心經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 智慧輪譯。
1028,T0255,t0255,般若波羅蜜多心經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 法成譯。
1029,T0256,t0256,唐梵翻對字音般若波羅蜜多心經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。
1030,T0257,t0257,佛說聖佛母般若波羅蜜多經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1031,T0258,t0258,佛說聖佛母小字般若波羅蜜多經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 天息災譯。
