འཕགས་པ་རིན་ཆེན་ཟླ་བས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Ratna­candra
གཞན་ཡང་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་ཡང་རུང་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དེའི་མཚན་ཐོས་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་རོ། ། ||| Any noble son or daughter who hears the name of that thus-gone, worthy, perfect buddha will never turn back from unsurpassed and perfect awakening.
གཞོན་ནུ་འདི་ནས་ནུབ་ཕྱོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་གྲངས་མེད་པ་སྔ་མ་ཇི་སྙེད་པ་དེ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་བཟང་པོ་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Prince, west of here, past as many countless billions of buddha realms as mentioned before, there is a realm called Excellence.
ལག་མཐིལ་ལྟར་མཉམ་པར་གྱུར་པ་ཞེས་བྱ་བ་ནས་སྔ་མ་བཞིན་དུ་སྦྱར་ཏེ། ཇི་ལྟར་གོང་དུ་བསྟན་པ་བཞིན་ནོ། ། ||| That realm is as flat as the palm of the hand and has all the other qualities described above.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སྣང་བ་མཐའ་ཡས་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཤིང་འཚོ་ལ་གཞེས་ཏེ། བྱང་ཆུབ་སེམས་དཔས་ཡོངས་སུ་བསྐོར་ཅིང་། བྱང་ཆུབ་སེམས་དཔས་མདུན་གྱིས་བལྟས་པ་ལ་ ||| There the thus-gone, worthy, perfect buddha Amitābha resides and lives surrounded by a gathering of bodhisattvas who venerate him.
ཐོག་མར་དགེ་བ། བར་དུ་དགེ་བ། ཐ་མར་དགེ་བའི་ཆོས་སྟོན་ཏོ། ། ||| He teaches them a Dharma that is virtuous in the beginning, virtuous in the middle, and virtuous in the end.
འདི་སྐད་ཅེས་ཀྱང་ཆོས་སྟོན་ཏོ། །ཞེས་བྱ་བ་ནས་རྣམ་པར་ཤེས་པ་མེད་པར་མི་འགྱུར་རོ། །ཞེས་བྱ་བའི་བར་དུ་སྔ་མ་བཞིན་དུ་སྦྱར་རོ། ། ||| He also teaches the same Dharma mentioned previously, up until ‘consciousness.’
གཞོན་ནུ་གཞན་ཡང་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་ཡང་རུང་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དེའི་མཚན་ཐོས་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་ཞིང་འོད་དེ་ཡང་ཉམས་སུ་མྱོང་ངོ་། ། ||| Prince, any noble son or daughter who hears the name of that thus-gone, worthy, perfect buddha will never turn back from unsurpassed and perfect awakening and will experience that light.
གཞོན་ནུ་འདི་ནས་བྱང་ཕྱོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་གྲངས་མེད་པ་སྔ་མ་ཇི་སྙེད་པ་དེ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་འཁྲུག་མེད་ཅེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Prince, north of here, past as many countless billions of buddha realms as mentioned before, there is a realm called Without Conflict.
ལག་མཐིལ་ལྟར་མཉམ་པར་གྱུར་པ་ཞེས་བྱ་བ་ནས་ཐམས་ཅད་སྔ་མ་བཞིན་དུ་སྦྱར་རོ། ། ||| That realm is as flat as the palm of the hand and has all the other qualities described above.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མེ་ཏོག་གི་དཔལ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཤིང་འཚོ་ལ་གཞེས་ཏེ། བྱང་ཆུབ་སེམས་དཔས་ཡོངས་སུ་བསྐོར་ཅིང་བྱང་ཆུབ་སེམས་དཔས་མདུན་གྱིས་བལྟས་པ་ལ་ ||| There the thus-gone, worthy, perfect buddha Floral Splendor resides and lives surrounded by a gathering of bodhisattvas who venerate him.
ཞེས་བྱ་བ་ནས་རྣམ་པར་ཤེས་པ་མེད་པར་མི་འགྱུར་རོ། །ཞེས་བྱ་བའི་བར་དུ་སྔ་མ་བཞིན་དུ་སྦྱར་རོ། ། ||| He also teaches the same Dharma mentioned previously, up until ‘consciousness.’
གཞོན་ནུ་གཞན་ཡང་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་ཡང་རུང་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དེའི་མཚན་ཐོས་ནས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་ཞིང་ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་གྱི་རྒྱལ་མཚན་ལྟ་བུར་འགྱུར་རོ། ། ||| Prince, any noble son or daughter who hears the name of that thus-gone, worthy, perfect buddha will never turn back from unsurpassed and perfect awakening and will become like a victory banner for the world along with its gods.
གཞོན་ནུ་འདི་ནས་ཤར་ལྷོའི་ཕྱོགས་མཚམས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་གྲངས་མེད་པ་དེ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་ཟླ་བ་སྣང་བ་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Prince, southeast of here, past countless billions of buddha realms, there is a realm called Moonlight.
ལག་མཐིལ་ལྟར་མཉམ་པ་ཞེས་བྱ་བ་ནས་སྔ་མ་བཞིན་དུ་སྦྱར་རོ། ། ||| That realm is as flat as the palm of the hand and has all the other qualities described above.
གཞོན་ནུ་དེ་ལ་ཇི་སྙམ་དུ་སེམས། ||| Prince, what do you think?
ཅིའི་ཕྱིར་འཇིག་རྟེན་གྱི་ཁམས་ཟླ་བ་སྣང་བ་ཞེས་བྱ་ཞེ་ན། ||| Why is that world called Moonlight?
འཇིག་རྟེན་གྱི་ཁམས་དེ་ཐམས་ཅད་དེ་བཞིན་གཤེགས་པ་དེའི་འོད་ཀྱིས་སྣང་བར་བྱས་པས་ན། ||| It is because the rays of light from its thus-gone one illuminate that entire realm.
དེའི་ཕྱིར་འཇིག་རྟེན་གྱི་ཁམས་དེ་ཟླ་བ་སྣང་བ་ཞེས་བྱའོ། ། ||| That is why that world is called Moonlight.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མྱ་ངན་མེད་པའི་དཔལ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཤིང་འཚོ་ལ་གཞེས་ཏེ། བྱང་ཆུབ་སེམས་དཔས་ཡོངས་སུ་བསྐོར་ཅིང་ ||| There the thus-gone, worthy, perfect buddha Aśokaśrī resides and lives surrounded by a gathering of bodhisattvas who venerate him.
བྱང་ཆུབ་སེམས་དཔས་མདུན་གྱིས་བལྟས་པ་ལ་ཆོས་སྟོན་ཏོ་ཞེས་བྱ་བ་ནས་རྣམ་པར་ཤེས་པ་མེད་པར་མི་འགྱུར་རོ་ཞེས་བྱ་བའི་བར་དུ་སྔ་མ་བཞིན་དུ་སྦྱར་རོ། ། ||| He teaches them the same Dharma mentioned previously, up until ‘consciousness.’
རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་ཡང་རུང་། དེའི་མཚན་ཐོས་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་རོ། ། ||| Any noble son or daughter who hears his name will never turn back from unsurpassed and perfect awakening.
གཞོན་ནུ་འདི་ནས་ལྷོ་ནུབ་ཀྱི་ཕྱོགས་མཚམས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་གྲངས་མེད་པ་དེ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་ཏོག་དང་ལྡན་པ་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Prince, southwest of here, past countless billions of buddha realms, there is a realm called Decorated with Banners.
ལག་མཐིལ་ལྟར་མཉམ་པར་གྱུར་པ་ཞེས་བྱ་བ་ནས་སྔ་མ་བཞིན་དུ་སྦྱར་རོ། ། ||| That realm is as flat as the palm of the hand and has all the other qualities described above.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིན་པོ་ཆེའི་མཆོད་སྡོང་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཤིང་འཚོ་ལ་གཞེས་ཏེ། བྱང་ཆུབ་སེམས་དཔས་ཡོངས་སུ་བསྐོར་ཅིང་ ||| There the thus-gone, worthy, perfect buddha Ratnayūpa resides and lives surrounded by a gathering of bodhisattvas who venerate him.
བྱང་ཆུབ་སེམས་དཔས་མདུན་གྱིས་བལྟས་པ་ལ་ཆོས་སྟོན་ཏོ་ཞེས་བྱ་བ་ནས་རྣམ་པར་ཤེས་པ་མེད་པར་མི་འགྱུར་རོ་ཞེས་བྱ་བའི་བར་དུ་སྔ་མ་བཞིན་དུ་སྦྱར་རོ། ། ||| He teaches them the same Dharma mentioned previously, up until ‘consciousness.’
རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་ཡང་རུང་། དེའི་མཚན་ཐོས་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་ཞིང་འཇིག་རྟེན་ན་རིན་པོ་ཆེ་ལྟར་མངོན་པར་འཕགས་པར་འགྱུར་རོ། ། ||| Any noble son or daughter who hears his name will never turn back from unsurpassed and perfect awakening and will become as exalted as a jewel in the world.
གཞོན་ནུ་འདི་ནས་ནུབ་བྱང་གི་ཕྱོགས་མཚམས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་གྲངས་མེད་པ་དེ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་སྒྲ་ལྡན་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Prince, northwest of here, past countless billions of buddha realms, there is a realm called Resounding.
ལག་མཐིལ་ལྟར་མཉམ་པར་གྱུར་པ་ཞེས་བྱ་བ་ནས་སྔ་མ་བཞིན་དུ་སྦྱར་རོ། ། ||| That realm is as flat as the palm of the hand and has all the other qualities described above.
གཞོན་ནུ་དེ་ལ་ཇི་སྙམ་དུ་སེམས། ||| Prince, what do you think?
ཅིའི་ཕྱིར་འཇིག་རྟེན་གྱི་ཁམས་དེ་སྒྲ་དང་ལྡན་ཞེས་བྱ་ཞེ་ན་ ||| Why is that world called Resounding?
འཇིག་རྟེན་གྱི་ཁམས་དེ་སྒྲ་འདི་ལྟ་བུ་དག་དང་ལྡན་ཏེ། འདི་ལྟ་སྟེ། སངས་རྒྱས་ཀྱི་སྒྲ་དང་། ཆོས་ཀྱི་སྒྲ་དང་། དགེ་འདུན་གྱི་སྒྲ་དང་། སྟོང་པ་ཉིད་ཀྱི་སྒྲ་དང་། མཚན་མ་མེད་པའི་སྒྲ་དང་། སྨོན་པ་མེད་པའི་སྒྲ་དང་། ||| It is because the realm is endowed with the sounds of ‘Buddha,’ ‘Dharma,’ and ‘Saṅgha,’ as well as ‘emptiness,’ ‘signlessness,’ and ‘wishlessness.’
སྦྱིན་པ་དང་། ཚུལ་ཁྲིམས་དང་། བཟོད་པ་དང་། བརྩོན་འགྲུས་དང་། བསམ་གཏན་དང་། ཤེས་རབ་ཀྱི་སྒྲ་དང་། རྣམ་པར་གྲོལ་བའི་སྒྲ་དང་། རྣམ་པར་གྲོལ་བའི་ཡེ་ཤེས་གཟིགས་པའི་སྒྲ་རྣམས་དང་ལྡན་ནོ། ། ||| Furthermore, it is endowed with the sounds of ‘generosity,’ ‘discipline,’ ‘patience,’ ‘diligence,’ ‘concentration,’ ‘insight,’ ‘liberation,’ and ‘vision of the wisdom of liberation.’
གཞོན་ནུ་འཇིག་རྟེན་གྱི་ཁམས་དེ་སྒྲ་དེ་ལྟ་བུ་དག་དང་ལྡན་པས་ན་དེའི་ཕྱིར་འཇིག་རྟེན་གྱི་ཁམས་དེ་སྒྲ་དང་ལྡན་ཞེས་བྱའོ། ། ||| Prince, since that world is endowed with such sounds, it is called Resounding.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མེ་ཏོག་དཔལ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཤིང་འཚོ་ལ་གཞེས་ཏེ། བྱང་ཆུབ་སེམས་དཔས་བསྐོར་ཅིང་ ||| There the thus-gone, worthy, perfect buddha Kusumaśrī resides and lives surrounded by a gathering of bodhisattvas who venerate him.
བྱང་ཆུབ་སེམས་དཔས་མདུན་གྱིས་བལྟས་པ་ལ་ཆོས་སྟོན་ཏོ་ཞེས་བྱ་བ་ནས་རྣམ་པར་ཤེས་པ་མེད་པར་མི་འགྱུར་རོ་ཞེས་བྱ་བའི་བར་དུ་སྔ་མ་བཞིན་དུ་སྦྱར་རོ། ། ||| He teaches them the same Dharma mentioned previously, up until ‘consciousness.’
རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་ཡང་རུང་། དེའི་མཚན་ཐོས་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་ཞིང་མེ་ཏོག་ལྟར་མི་དགེ་བའི་ཆོས་རྣམས་ཀྱིས་ཀྱང་གོས་པར་མི་འགྱུར་རོ། ། ||| Any noble son or daughter who hears his name will never turn back from unsurpassed and perfect awakening and, like a flower, will be unstained by nonvirtuous phenomena.
གཞོན་ནུ་འདི་ནས་བྱང་ཤར་གྱི་ཕྱོགས་མཚམས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་གྲངས་མེད་པ་དེ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་བདེ་ལྡན་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Prince, northeast of here, past countless billions of buddha realms, there is a realm called Happy .
འབྱོར་པ་དང་། རྒྱས་པ་དང་། བདེ་བ་དང་། ||| It is affluent, thriving, and happy.
ལོ་ལེགས་པ་དང་། སྐྱེ་བོ་དང་། མི་མང་པོས་གང་ཞིང་ ||| It has good harvests and is inhabited by many people.
ལག་མཐིལ་ལྟར་མཉམ་པར་གྱུར་པ་ཞེས་བྱ་བ་ནས་སྔ་མ་བཞིན་དུ་སྦྱར་རོ། ། ||| It is as flat as the palm of the hand and has all the other qualities described above.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མངོན་པར་ཤེས་པ་ཆུང་ངུ་དང་། འབྲིང་དང་། ཆེན་པོས་རྣམ་པར་རོལ་པ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཤིང་འཚོ་ལ་གཞེས་ཏེ། བྱང་ཆུབ་སེམས་དཔས་བསྐོར་ཅིང་ ||| There the thus-gone, worthy, perfect buddha Reveling in Lesser, Medium, and Higher Superknowledge resides and lives surrounded by a gathering of bodhisattvas who venerate him.
བྱང་ཆུབ་སེམས་དཔས་མདུན་གྱིས་བལྟས་པ་ལ་ཆོས་སྟོན་ཏོ་ཞེས་བྱ་བ་ནས་རྣམ་པར་ཤེས་པ་མེད་པར་མི་འགྱུར་རོ་ཞེས་བྱ་བ་ནས་སྔ་མ་བཞིན་དུ་སྦྱར་རོ། ། ||| He teaches them the same Dharma mentioned previously, up until ‘consciousness.’
རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་ཡང་རུང་། དེའི་མཚན་ཐོས་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་དང་ཚུལ་ཐམས་ཅད་ལ་མཁས་ཤིང་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཤེས་པ་ཡང་ཡོངས་སུ་འཛིན་པར་འགྱུར་རོ། ། ||| Any noble son or daughter who hears his name will never turn back from unsurpassed and perfect awakening, will become skilled in all the actions and ways of bodhisattvas, and will uphold the knowledge of the perfections.
གཞོན་ནུ་འདི་ནས་འོག་གི་ཕྱོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་གྲངས་མེད་པ་དེ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་ཡངས་པ་དང་ལྡན་པ་ཞེས་བྱ་བ་ཞིག་ཡོད་དོ། ། ||| “Prince, below here, past countless billions of buddha realms, there is a realm called Vast Expanse.
གཞོན་ནུ་དེ་ལ་ཇི་སྙམ་དུ་སེམས། ||| Prince, what do you think?
ཅིའི་ཕྱིར་འཇིག་རྟེན་གྱི་ཁམས་དེ་ཡངས་པ་དང་ལྡན་པ་ཞེས་བྱ་ཞེ་ན། ||| Why is that world called Vast Expanse?
འཇིག་རྟེན་གྱི་ཁམས་དེ་ལག་མཐིལ་ལྟར་མཉམ་པར་གྱུར་པ། རི་མེད་ཅིང་ཁོར་ཡུག་དང་། ཁོར་ཡུག་ཆེན་པོ་མེད་དེ། ||| It is because it is as flat as the palm of the hand and it has no mountains, surrounding mountains, or great surrounding mountains.
སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་རི་ཞེས་བྱ་བའི་མིང་ཡང་ཡེ་མེད་པས་ན་དེའི་ཕྱིར་འཇིག་རྟེན་གྱི་ཁམས་དེ་ཡངས་པ་དང་ལྡན་པ་ཞེས་བྱའོ། ། ||| Since even the word mountain does not exist in that buddha realm, it is called Vast Expanse.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སྣང་བའི་དཔལ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཤིང་འཚོ་ལ་གཞེས་ཏེ། བྱང་ཆུབ་སེམས་དཔས་བསྐོར་ཅིང་ ||| There the thus-gone, worthy, perfect buddha Prabhāśrī resides and lives surrounded by a gathering of bodhisattvas who venerate him.
བྱང་ཆུབ་སེམས་དཔས་མདུན་གྱིས་བལྟས་པ་ལ་ཆོས་སྟོན་ཏོ་ཞེས་བྱ་བ་ནས་རྣམ་པར་ཤེས་པ་མེད་པར་མི་འགྱུར་རོ་ཞེས་བྱ་བའི་བར་དུ་སྔ་མ་བཞིན་དུ་སྦྱར་རོ། ། ||| He teaches them the same Dharma mentioned previously, up until ‘consciousness.’
རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་ཡང་རུང་། དེའི་མཚན་ཐོས་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་ཞིང་ཉེ་བར་ལེན་པའི་ཉོན་མོངས་པ་ཐམས་ཅད་ཟད་པར་ཡང་རྗེས་སུ་འཛིན་པར་འགྱུར་རོ། ། ||| Any noble son or daughter who hears his name will never turn back from unsurpassed and perfect awakening and will be graced with the exhaustion of all their perpetuating afflictions.
གཞོན་ནུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་སྟེང་གི་ཕྱོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་གྲངས་མེད། དཔག་ཏུ་མེད། བསམ་གྱིས་མི་ཁྱབ། གཞལ་དུ་མེད་པ་དེ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་ཟླ་བ་ཅན་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Prince, above here, past innumerable, unfathomable, inconceivable, and immeasurable billions of buddha realms, there is a realm called Moonlit.
འཇིག་རྟེན་གྱི་ཁམས་ཟླ་བ་ཅན་ཞེས་བྱ་བ་དེ་སངས་རྒྱས་ཀྱི་ཞིང་དཔག་ཏུ་མེད་པ་ཇི་སྙེད་ཅིག་འདས་པ་ན་ཡོད་ཅེ་ན། ||| How many unfathomable buddha realms must one pass through to reach Moonlit?
གཞོན་ནུ་འདི་ལྟ་སྟེ། སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་སྲིད་པའི་རྩེ་མོའི་བར་དུ་བྱེ་མས་ཡོངས་སུ་གང་བར་གྱུར་ལ། ||| Prince, it is like this. Suppose this trichiliocosm were completely filled with sand, all the way to its summits.
དེ་ནས་མི་ལ་ལ་ཞིག་གིས་བྱེ་མ་དེ་ལས་འབྲུ་རེ་རེ་ནས་བླངས་ཤིང་སྟེང་གི་ཕྱོགས་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་རེ་རེར་བྱེ་མ་འབྲུ་རེ་རེ་འཇོག་པར་བྱེད་པ་དེ་ལྟ་བུའི་ཚུལ་གྱིས་བྱེ་མ་དེ་ཐམས་ཅད་སྟེང་གི་ཕྱོགས་སུ་ཡོངས་སུ་ཟད་ཅིང་ཡོངས་སུ་གཏུགས་པར་གྱུར་ཀྱང་སངས་རྒྱས་ཀྱི་ཞིང་དེ་དག་གི་ཚད་དམ་མཐའ་རྟོགས་པར་མི་ནུས་པའི་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་དཔག་ཏུ་མེད་གྲངས་མེད་པ་དེ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་ཟླ་བ་ཅན་ཞེས་བྱ་བ་དེ་ཡོད་དེ ||| If a person were to remove the sand, grain by grain, and place one grain of sand in each buddha realm above until every single grain of sand was placed in a buddha realm in that direction, one would still not have reached the extent and limit of those buddha realms. The realm Moonlit lies farther away than such unfathomable and innumerable billions of buddha realms.
འཇིག་རྟེན་གྱི་ཁམས་དེ་ཡང་ལག་མཐིལ་ལྟར་མཉམ་པར་གྱུར་པ། རིན་པོ་ཆེ་སྣ་བདུན་གྱིས་ལེགས་པར་བརྒྱན་པ། གསེར་གྱི་ས་གཞིར་འདུག་ཅིང་ ||| That realm is as flat as the palm of the hand, is beautifully decorated with seven kinds of precious substances, and has a ground made of gold.
མིག་མངས་རིས་སུ་བྲིས་པ། རིན་པོ་ཆེའི་ཤིང་ལྗོན་པས་ལེགས་པར་བརྒྱན་པ། ||| It is laid out in a checkered pattern and ornamented with precious trees.
སེམས་ཅན་དམྱལ་བ་དང་། དུད་འགྲོའི་སྐྱེ་གནས་དང་། ཡི་དགས་དང་། ལྷ་མ་ཡིན་གྱི་ཚོགས་རྣམས་མེད་པ། ||| There are no hell beings, animals, hungry spirits, or asuras there,
རྩྭ་དང་། ཤིང་སྐམ་དང་། ཚེར་མ་དང་། རྡོ་དང་། གསེག་མ་དང་། གྱོ་མོ་དག་མེད་པ། ངམ་གྲོག་དང་། གཡང་ས་མེད་པ། མེ་ཏོག་གི་སིལ་མ་དག་བཀྲམ་པ་ཡིན་ཏེ ||| and it is free of grass, dried sticks, thorns, stones, pebbles, gravel, ravines, and precipices. Instead, the ground is covered in flower petals.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ནོར་དཔལ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཤིང་འཚོ་ལ་གཞེས་ཏེ། བྱང་ཆུབ་སེམས་དཔས་བསྐོར་ཅིང་ ||| “There the thus-gone, worthy, perfect buddha Dhanaśrī resides and lives surrounded by a gathering of bodhisattvas who venerate him.
བྱང་ཆུབ་སེམས་དཔས་མདུན་གྱིས་བལྟས་པ། རིག་པ་དང་ཞབས་སུ་ལྡན་པ། བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་འདུལ་བའི་ཁ་ལོ་སྒྱུར་བ་བླ་ན་མེད་པ། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ ||| He is learned and venerable, a blissful one, a knower of the world, a steersman who guides beings, an unexcelled one, a teacher of gods and humans, a blessed buddha.
སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་ཀྱིས་བརྒྱན་པའི་སྐུ་གསེར་ལེགས་པར་བཙོས་ཤིང་ལེགས་པར་དུལ་བ་ལྟ་བུ་རིན་པོ་ཆེའི་རྒྱན་ ||| His body, which is adorned with the thirty-two marks of a great being, is like purified and refined gold adorned with precious ornaments.
ལེགས་པར་བཀོད་པ་བཞིན་དུ་འཁོར་གྱི་ནང་ན་མཛེས་པར་བཞུགས་ཤིང་ཐོག་མར་དགེ་བ། བར་དུ་དགེ་བ། ཐ་མར་དགེ་བའི་ཆོས་སྟོན་ཏོ། ། ||| Sitting beautifully amidst the gathering, he teaches a Dharma that is virtuous in the beginning, virtuous in the middle, and virtuous in the end.
འདི་སྐད་ཅེས་ཀྱང་སྟོན་ཏེ། ||| He teaches as follows:
འདི་ལྟར་སའི་ཁམས་མེད་པར་མི་འགྱུར་རོ། །དེ་བཞིན་དུ་ཆུའི་ཁམས་དང་། མེའི་ཁམས་དང་། རླུང་གི་ཁམས་དང་། ||| ‘In this way the earth element will not become nonexistent, nor will the water element, the fire element, or the wind element.
སྐྱེ་དགུའི་བདག་པོ་ཚངས་པ་དང་། གཟུགས་དང་། ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་དང་། རྣམ་པར་ཤེས་པ་མེད་པར་མི་འགྱུར་རོ་ཞེས་སྟོན་ཏོ། ། ||| Likewise, Brahmā who is the lord of beings will not become nonexistent, and the same applies to form, feeling, perception, formation, and consciousness.’
