༄༅༅། །འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་ཉི་ཤུ་རྩ་བརྒྱད་པ་སྟེ་ཁྱིམ་བདག་དཔས་བྱིན་གྱིས་ཞུས་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བཱི་ར་དཏྟ་གྲྀ་ཧ་པ་ཏི་པ་རི་པྲྀཙྪཱ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཁྱིམ་བདག་དཔས་བྱིན་གྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of the Householder Vīradatta
སེམས་ཅན་ཐམས་ཅད་ཡིད་ལ་བྱས་ཏེ་བསམ་གཏན་ལ་མཉམ་པར་གཞག་པར་བྱ། ||| He should become established in concentration while considering all sentient beings.
སེམས་ཅན་ཐམས་ཅད་ཡིད་ལ་བྱས་ཏེ་ཤེས་རབ་བསྒོམ་པར་བྱ། ||| He should cultivate wisdom while considering all sentient beings.
སེམས་ཅན་ཐམས་ཅད་ཡིད་ལ་བྱས་ཏེ་ཐབས་ལ་མཁས་པ་བསླབ་པར་བྱའོ། ||| He should train in skillful means while considering all sentient beings.”
།དེ་ནས་ཁྱིམ་བདག་དཔས་བྱིན་དང་། ཁྱིམ་བདག་ལྔ་བརྒྱ་ཙམ་དེ་དག་གིས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བདག་ཅག་ནི་ལུས་ལ་ལྟ་ཞིང་གནས་པ་ལགས། སྲོག་ལ་ལྟ་ཞིང་གནས་པ་ལགས། དེ་བཞིན་དུ་ནོར་དང་། འབྲུ་དང་། ཁྱིམ་དང་། ཆུང་མ་དང་། བུ་དང་། བུ་མོ་རྣམས་ལ་ལྟ་ཞིང་གནས་པ་ལགས། བཟའ་བ་དང་། བཏུང་བ་དང་། བགོ་བ་དང་། བཞོན་པ་དང་། མལ་ཆ་དང་། མེ་ཏོག་དང་། སྤོས་དང་། བདུག་པ་དང་། ཕྲེང་བ་དང་། བྱུག་པ་རྣམས་ལ་ལྟ་ཞིང་གནས་པ་ལགས། ཡོ་བྱད་ཐམས་ཅད་ལ་ལྟ་ཞིང་གནས་པ་ལགས་ན། ||| The householder Vīradatta and the five hundred householders then said to the Blessed One, “Blessed One, if one perceives and dwells on the body and life, and likewise perceives and dwells on wealth, grain, house, wife, sons, or daughters, and likewise perceives and dwells on food, drink, clothing, vehicles, bedding, flowers, incense, perfumes, garlands, or ointments, and all one’s enjoyments, then, Blessed One, how should a bodhisattva examine these and thereby disregard the body?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་བྱང་ཆུབ་སེམས་དཔའ་སོ་སོར་རྟོག་ཅིང་ལུས་ལ་མི་ལྟ་བ་ལགས། བདེ་བར་གཤེགས་པ་ཇི་ལྟར་སྲོག་ལ་མི་ལྟ་བ་ལགས། ||| Tathāgata, how should he disregard life?
དེ་བཞིན་དུ་ནོར་དང་། འབྲུ་དང་། ཁྱིམ་དང་། ཆུང་མ་དང་། བུ་དང་། བུ་མོ་རྣམས་ལ་མི་ལྟ་བ་ལགས། ||| Likewise, how should he disregard wealth, grain, house, wife, sons, and daughters?
བཟའ་བ་དང་། བཏུང་བ་དང་། བགོ་བ་དང་། བཞོན་པ་དང་། མལ་ཆ་དང་། མེ་ཏོག་དང་། བདུག་པ་དང་། སྤོས་དང་། ཕྲེང་བ་དང་། བྱུག་པ་རྣམས་ལ་མི་ལྟ་བ་ལགས། ||| How should he disregard food, drink, clothing, vehicles, bedding, flowers, incense, perfumes, garlands, or ointments?
ཡོ་བྱད་ཐམས་ཅད་ལ་མི་ལྟ་བ་ལགས། ||| How should he disregard all enjoyments?”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཁྱིམ་བདག་དཔས་བྱིན་དང་། ཁྱིམ་བདག་ལྔ་བརྒྱ་ཙམ་དེ་དག་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །ཁྱིམ་བདག་རྣམས་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་ལུས་འདི་ལ་རྣམ་པ་དུ་མར་སོ་སོར་བརྟག་པར་བྱའོ། །རྣམ་པ་དུ་མ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ལུས་འདི་མཐར་གྱིས་གྲུབ་པ་དང་། མཐར་གྱིས་འཇིག་པ་དང་། རྡུལ་ཕྲ་རབ་བསགས་པ་དང་། ཁོང་སྟོང་དང་། གྱེ་གུ་ཅན་དང་། བུ་ག་དགུ་དང་། སྤུའི་ཁུང་བུ་ནས་ཟག་པ་དང་། གྲོག་མཁར་ལྟར་སྦྲུལ་གདུག་པའི་གནས་སུ་གྱུར་པ་དང་། སྦྲུལ་གདུག་པ་ལྟར་བྱས་པ་མི་གཟོ་བ་དང་། མ་སྐྱེས་དགྲའི་སྤྲེའུ་ལྟར་གྲོགས་ལ་འཁུ་བ་དང་། བཤེས་གཉེན་ངན་པ་ལྟར་འདྲིད་པའི་བདག་ཉིད་ཅན་དང་། དབུ་བ་རྡོས་པ་ལྟར་རང་བཞིན་གྱིས་ཉམ་ཆུང་བ་དང་། ཆུའི་ཆུ་བུར་ལྟར་བྱུང་ནས་འཇིག་ཅིང་འཇུ་བ་དང་། སྨིག་རྒྱུ་ལྟར་སླུ་བའི་བདག་ཉིད་ཅན་དང་། ཆུ་ཤིང་ལྟར་བཤིག་ན་སྙིང་པོ་མེད་པ་དང་། སྒྱུ་མ་ལྟར་སླུ་བའི་བདག་ཉིད་དང་། རྒྱལ་པོ་ལྟར་བགོ་བླག་མང་བ་དང་། དགྲ་ལྟར་གླགས་ལྟ་བ་དང་། རྐུན་པོ་ལྟར་ཡིད་བརྟན་དུ་མི་རུང་བ་དང་། གཤེད་མ་ལྟར་རྗེས་སུ་ཆགས་པ་མེད་པ་དང་། མི་མཛའ་བ་ལྟར་མི་ཕན་པར་འདོད་པ་དང་། གསོད་པ་ལྟར་ཤེས་རབ་ཀྱི་སྲོག་གི་བར་ཆད་བྱེད་པ་དང་། ཕྱིར་རྒོལ་བ་ལྟར་དགེ་བའི་ཕྱོགས་ཀྱི་ཆོས་ཀྱི་བར་ཆད་བྱེད་པ་དང་། གྲོང་སྟོང་ལྟར་བདག་དང་བྲལ་བ་དང་། རྫ་མཁན་གྱི་སྣོད་ལྟར་མཐར་འཇིག་པ་དང་། སྤྱང་ལྟར་མི་གཙང་བ་སྣ་ཚོགས་ཀྱིས་ཡོངས་སུ་གང་བ་དང་། སྦང་མའི་སྣོད་ལྟར་མི་གཙང་བ་ཟག་པ་དང་། སྦྲུལ་དང་། མི་དང་། ཁྱིའི་རོ་ལྟར་དྲི་མི་ཞིམ་པ་དང་། ངན་སྐྱུགས་ཀྱི་ཁུང་བུ་ལྟར་མི་གཙང་བའི་འབྱུང་གནས་དང་། རྨ་ལྟར་བསྐྱོད་མི་བཟོད་པ་དང་། ཟུག་རྔུ་ལྟར་གནོད་པའི་བདག་ཉིད་ཅན་དང་། རྗེ་བོ་སྡང་བ་ལྟར་བསྙེན་པར་དཀའ་བ་དང་། ཁང་རྙིང་ལྟར་བཅོས་ལེགས་བྱ་ཞིང་བསྟེན་པ་དང་། གྲུ་རྙིང་ལྟར་བཅོས་ལེགས་བྱ་ཞིང་སྤྱད་པ་དང་། བུམ་པ་སོ་མ་བཏང་བ་ལྟར་ནན་ཏན་གྱིས་བག་བྱ་དགོས་པ་དང་། གྲོགས་པོ་མི་སྲུན་པ་ལྟར་རྟག་ཏུ་རྗེས་སུ་བསྲུང་དགོས་པ་དང་། ཆུ་འགྲམ་གྱི་ཤིང་ལྟར་གཡོ་ཞིང་འགུལ་བ་དང་། ཆུ་ཀླུང་ཆེན་པོའི་རྒྱུན་ལྟར་མཐར་མཆི་བའི་རྒྱ་མཚོ་ལ་ཐུག་པ་དང་། བློ་བུར་བའི་ཁྱིམ་ལྟར་སྡུག་བསྔལ་ཐམས་ཅད་ཀྱི་གནས་སུ་གྱུར་པ་དང་། མགྲོན་པོ་མེད་པའི་གནས་ཁང་ལྟར་ཡོངས་སུ་གཟུང་བ་མེད་པ་དང་། བཙོན་སྲུངས་ལྟར་གསུག་གིས་བསྒྲུབ་པར་བྱ་བ་དང་། མཐའ་འཁོབ་ཀྱི་གྲོང་ཁྱེར་ལྟར་རྟག་ཏུ་གནོད་པ་འབྱུང་བ་དང་། བྱེ་མའི་གྲོང་ཁྱེར་ལྟར་རྟག་ཏུ་འཇིག་པའི་བདག་ཉིད་ཅན་དང་། མེ་ལྟར་ཆོག་མི་ཤེས་པ་དང་། རྒྱ་མཚོ་ལྟར་དགང་དཀའ་བ་དང་། སྦྲུལ་གྱི་གཟེབ་ལྟར་ནན་ཏན་གྱིས་བག་བྱ་བ་དང་། བྱིས་པ་ཆུང་ངུ་ལྟར་རྟག་ཏུ་ཡོངས་སུ་བསྐྱང་དགོས་པ་དང་། སྣོད་ཆག་པ་ལྟར་རྟག་ཏུ་བག་བྱ་དགོས་པ་དང་། ཡུལ་ངན་པ་ལྟར་རྟག་ཏུ་གནོད་པ་འབྱུང་བ་དང་། ཟས་དུག་ཅན་ལྟར་རྟག་ཏུ་ཡོངས་སུ་སྤང་བར་བྱ་བ་དང་། རེ་ཤིག་དགོས་པའི་ཕྱིར་སྣོད་བརྙན་མ་ལྟ་བུ་དང་། ཁུར་བཀུར་བའི་ཕྱིར་ཤིང་རྟ་ལྟ་བུ་ཡིན་པ་འབའ་ཞིག་བློས་གཟུང་བར་བྱའོ། ||| The Blessed One said to the householder Vīradatta and the five hundred householders, “In this regard, householders, the bodhisattva mahāsattva should examine multiple aspects of this body. What are the multiple aspects? They consist in this body’s gradual development and gradual deterioration, its being a collection of minute particles, its hollow interior, its crookedness, and its contamination through the nine crevices and the hair pores. Like an anthill, it serves as a den for poisonous snakes. As with a poisonous snake, people avoid dealing with it. Like the monkey of Ajātaśatru, it is hostile to friends. Like a wicked friend, it is the embodiment of deceit. Like a mass of foam, it is vacuous by nature. Like a water bubble, it breaks when grasped. Like a mirage, it is the embodiment of deception. Like a plantain, it lacks any core when split apart. “Like an illusion, it is the embodiment of deceptiveness. Like a king, it is pampered a lot. Like an enemy, it looks for opportunities. Like a thief, it cannot be trusted. Like an executioner, it is without any affection. Like a foe, it wants to be unbeneficial. Like a murderer, it hinders the life force of insight. Like hostile forces, it hinders qualities conducive to virtue. Like a ghost town, it is devoid of self. Like a potter’s vase, it will eventually disintegrate. Like a mire, it is filled with all sorts of filth. Like a mug of malt dregs, it is contaminated with impurities. Like the corpse of a snake, man, or dog, it has an unpleasant smell. Like a puddle of vomit, it is a source of filth. Like a wound, it is unbearable when disturbed. Like a thorn, it has the nature of piercing. Like an indignant ruler, it is difficult to appease. Like an old house, it needs attention and proper repairs. Like an old boat, it needs upkeep and proper repairs. Like a freshly made clay pot, it needs to be handled carefully. As with a mischievous friend, one must always be on guard against it. “Like a tree on a riverbank, it is unstable. Like the stream of a great river, it ends in the ocean of death. Like a house of drifters, it is the haven of all miseries. Like a hotel without guests, it is unidentifiable. Like a jailer, it is susceptible to bribes. Like a town in savage border lands, it presents a constant threat. Like a city made of sand, it is always deteriorating. Like a fire, it is insatiable. Like the ocean, it is hard to fill up. Like a basket containing a viper, it has to be handled carefully. Like a young child, it needs constant protection. Like a broken vessel, it needs constant attention. Like a famine, it brings constant misfortune. Like poison food, it must always be purged. It is like a borrowed vessel because its purpose is temporary. It is like a cart because it bears a burden.
།ཁྱིམ་བདག་རྣམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔས་ལུས་འདི་ཐོག་མ་དང་ཐ་མའི་རྒྱུ་ལ་སོ་སོར་བརྟག་པར་བྱའོ། ||| One should apprehend the body intellectually as nothing more than these things. “Moreover, householders, a bodhisattva should examine this body according to the initial and final causes.
།ཕ་མའི་ཁུ་ཆུ་དང་ཁྲག་འདུས་པ་ལས་འབྱུང་སྟེ། འདི་ལ་ཁུ་ཆུ་དང་ཁྲག་ནི་ལུས་ཀྱི་ཐོག་མའི་རྒྱུ་ཡིན་ནོ། ||| The initial cause of the body is its genesis from the combination of the seminal fluid and blood of one’s father and mother.
།ཐ་མའི་རྒྱུ་ནི་ཟས་འཇུ་བ་ལ་སོགས་པ་སྟེ། ||| The final cause is the digestion of food and so forth.
ཁམ་གྱིས་བཟའ་བའི་ཟས་ཟོས་མ་ཐག་ཏུ་བད་ཀན་གྱི་གནས་སུ་འགྲོའོ། ||| As soon as food is eaten by the mouthful, it goes to the site of phlegm.
།བད་ཀན་གྱི་གནས་སུ་ཕྱིན་ནས་བད་ཀན་གྱིས་རྐྱང་རྐྱང་པོར་བྱས་ཏེ་ཤིན་ཏུ་མི་གཙང་བར་འགྱུར་རོ། ||| Having gone to the site of phlegm, it is worked on extensively by the phlegm and becomes very impure.
།དེའི་འོག་ཏུ་མཁྲིས་པའི་གནས་སུ་འགྲོ་སྟེ། མཁྲིས་པའི་གནས་སུ་ཕྱིན་ནས་ཞུ་ཞིང་སྐྱུར་པོར་གྱུར་ཏེ། ||| Below there, it goes into the site of bile, and having reached the site of bile, it dissolves and becomes acidic.
རླུང་གི་གནས་སུ་འགྲོའོ། ||| Then it goes to the site of winds.
།ཞུ་སྟེ་རླུང་གི་གནས་སུ་ཕྱིན་ནས་རླུང་གིས་ཚིགས་མ་ལོགས་ཤིག །དངས་མ་ལོགས་ཤིག་ཏུ་རྣམ་པར་འབྱེད་དེ། ||| Having dissolved and gone to the site of winds, the winds break down the waste part and make the refined part very pure.
ཚིགས་མ་ལས་ནི་གཅིན་དང་། ངན་སྐྱུགས་ལ་སོགས་ཏེ་དྲི་མ་རྣམས་འབྱུང་། ||| From the waste part comes ordure such as urine and vomit.
དངས་མ་ལས་ནི་ཁྲག་ཏུ་འགྱུར་ཏེ། ||| From the refined part comes blood.
ཁྲག་ལས་ཤའོ། ||| From blood comes flesh.
།ཤ་ལས་ཚིལ་ལོ། ||| From flesh comes fat.
།ཚིལ་ལས་རུས་པའོ། ||| From fat comes bone.
།རུས་པ་ལས་རྐང་ངོ་། ||| From bone comes marrow.
།རྐང་ལས་ཁུ་ཆུའོ། ||| From marrow comes seminal fluid.
།ཁུ་ཆུ་ལས་ལུས་འདི་ལྟ་སྟེ། ||| From seminal fluid comes the body.
དེ་ལྟར་ཐོག་མ་དང་ཐ་མའི་རྒྱུ་མི་གཙང་བའི་ཕྱིར་ལུས་མི་གཙང་བར་བྱང་ཆུབ་སེམས་དཔས་བསམ་པར་བྱའོ། ||| In this way the initial and final causes are impure. “Because the initial and final causes are impure, bodhisattvas should consider the body to be impure.
།ལུས་ལ་མི་གཙང་བར་ལྟ་བ་ན་བྱང་ཆུབ་སེམས་དཔས་འདི་སྙམ་དུ་བསམ་པར་བྱ་སྟེ། ||| When viewing the body as impure, the bodhisattva should consider the following points:
ལུས་ཞེས་བྱ་བ་འདི་ནི་རུས་པ་སུམ་བརྒྱ་དྲུག་ཅུས་ཁོག་པ་བསླང་བ། ཤིང་ངན་པའི་ཁྱིམ་ལྟར་ཚིགས་སུམ་བརྒྱས་སྦྱར་བ། ||| This so-called body is erected on the inside by three hundred and sixty bones, three hundred of which are connected like a house of rotten wood.
རྩའི་དྲ་བ་བཞི་བརྒྱས་གླགས་པ། ཤ་སྤར་ཚད་ལྔ་བརྒྱས་གཡོགས་པ། སྡོམ་རྩ་དྲུག་གིས་ཁེབས་པ། རྩ་བདུན་བརྒྱས་གང་བ། རྒྱུས་པ་བདུན་བརྒྱས་འབྲེལ་བ། ཆུ་བ་བཅུ་དྲུག་གིས་བརྟེན་པ། ||| It is interlaced with four hundred networks of veins, sheathed with five hundred handfuls of flesh, covered by six connected channels, filled with seven hundred nerves, held together by seven hundred tendons, and supported by sixteen ligaments.
ཆུ་བ་གཉིས་ཀྱིས་ཁྱབ་པར་དཀྲིས་པ། ||| These are surrounded by two ligaments.
རྒྱུ་མ་འདོམ་ཕྱེད་དང་བཞིས་ནང་ཁྲོལ་བྱས་པ། ||| The small intestines are made up of three and a half cubits of entrails.
ལོང་ཀ་དང་། ཕོ་བ་དང་འབྲེལ་བའི་གཉེ་མ་རིམ་པ་བཅུ་དྲུག་ཏུ་འཁྱིལ་བ། ||| The intestines connected to the large intestine and stomach are coiled sixty times.
རྩ་ཕྲན་ཉིས་སྟོང་ལྔ་བརྒྱས་སྐར་ཁུང་བྱས་པ། ||| There are openings made by twenty-five hundred subsidiary channels.
གཤིས་བརྒྱ་རྩ་བདུན་གྱིས་སྣོད་ཆག་པ་ལྟར། ཤིག་ཤིག་པོར་གྱུར་པ། ||| There is a weakening by way of one hundred and seven vital essences, like a broken vessel.
སྤུའི་ཁུང་བུ་བྱེ་བ་བརྒྱ་སྟོང་ཕྲག་བརྒྱད་ཅུས་རྩ་ལྟར་ཁེབས་པ། ||| It is carpeted, like grass, with eighteen million hair pores.
དབང་པོ་ལྔའི་བུ་ག་དགུ་ཡོད་པ། ||| There are nine orifices including the five sense powers.
གནས་བདུན་དང་ལྡན་པ། ||| It has seven sites.
མི་གཙང་བས་ཡོངས་སུ་གང་བ། ||| It is filled with filth.
ཀླད་པ་སྙིམ་པ་གང་དང་། ཚིལ་སྙིམ་པ་གང་དང་། ཞག་སྙིམ་པ་གསུམ་དང་། བད་ཀན་སྙིམ་པ་དྲུག་དང་། མཁྲིས་པ་སྙིམ་པ་དྲུག་དང་། རླུང་གིས་མཐའ་དག་དྲངས་པ་དང་། ཁྲག་བྲེ་གང་དང་། ངན་སྐྱུགས་ཕུལ་གང་དང་། དེ་དག་ཐམས་ཅད་ཀྱིས་བང་བ་བར་ཆད་ཅན་ལྟར་སོ་སོར་ཡོངས་སུ་གང་བ། པགས་པ་རིམ་པ་བདུན་གྱིས་ཀུན་ནས་བསྐོར་བ། ||| It has two handfuls of brains, two handfuls of marrow, six handfuls of fat, six handfuls of phlegm, and six handfuls of bile, all drawn by the winds. It is filled with liters of blood and a handful of vomit. It is completely filled with all these things, like a jam-packed storehouse, and it is totally ensconced in seven layers of skin.
རོ་བྲོ་བ་དྲུག་གིས་གསོ་བ། ||| It is nourished by six flavors.
ལུས་ཀྱི་མེ་ལ་ངན་སྐྱུགས་ཀྱི་སྦྱིན་སྲེག་བྱེད་པ། ||| There is a burnt offering of ordure made into the bodily fire.
རྟག་ཏུ་མཐར་འཛག་པ། ||| The extremities leak continuously.
ལུས་ཀྱི་ཡན་ལག་དེ་དག་ཐམས་ཅད་ཀྱིས་བལྟ་ན་མི་སྡུག་པ། དྲི་ང་བ། ||| “All the parts of the body are unpleasant when observed. There are bad smells.
རྣག་གི་རང་བཞིན་ཡིན་ན་འདི་ལ་སུ་ཞིག་གུས་པར་བྱེད་དེ། ||| Given that it has the nature of pus, who would have reverence for it?
སྐད་ཅིག་དགོས་པའི་ཕྱིར་སྣོད་བརྙན་མ་ཙམ་དུ་ཟད་པ་དང་། ཁུར་བཀུར་བའི་ཕྱིར་ཤིང་རྟ་ལྟ་བུ་འབའ་ཞིག་ཡིན་པར་ཆོས་ཀྱི་བློས་གཟུང་བར་བྱའོ། ||| It is merely a borrowed vessel because its purpose is fleeting. One should apprehend with the mind of the Dharma that it is only, like a cart, for the purpose of bearing a burden.
།དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| In this regard the following is said:
འདི་ལྟར་མི་གཙང་ཕུང་པོའི་ལུས་ལ་ནི། ||| “ ‘Thus, concerning this impure body of the aggregates,
།གཟུགས་མངོན་ང་རྒྱལ་ཅན་གང་གུས་བྱེད་པ། ||| Just as one with overweening pride who admires its form
།བྱིས་པའི་བློ་ཅན་དེ་ནི་མངོན་བཞིན་དུ། ||| Exhibits a childish mind,
།མི་ཤེས་ངན་སྐྱུགས་བུམ་པ་ཐོགས་ཤིང་འགྲོ །དེ་ཡི་སྣ་ནས་རྣག་གི་རྣམ་པ་འཛག། ||| So do the ignorant cling to and move around with this pot of vomit. “ ‘From its nose leaks a kind of mucous.
།ཁ་ནས་དྲི་མི་ཞིམ་པ་རྟག་ཏུ་འབྱུང་། ||| From its mouth foul odors always rise.
།མིག་རྡུལ་ཆགས་ཤིང་སྐྱེ་བོ་སྲིན་བུ་ཅན། ||| The eyes get clogged with dust, and people are subject to parasites.
།དེ་ལ་སུ་ཞིག་ཆགས་ཤིང་གུས་པར་བྱེད། ||| Who would have attachment to and admiration for that?
།དཔེར་ན་བྱིས་པ་སོལ་བ་ཐོགས་ནས་སུ། ||| “ ‘As an analogy, though a fool holding charcoal
།འདི་ནི་དཀར་པོར་བྱ་ཞེས་འདར་བྱེད་ཀྱང་། ||| Announces, “I will make this white,”
།དཀར་པོའི་དངོས་པོར་མི་འགྱུར་ཟད་པར་འགྱུར། ||| He grows exhausted, as it will never become something white.
།བྱིས་བློ་ཕྱིན་ཅི་ལོག་གི་ང་རྒྱལ་ཅན། ||| Thus, the childish are subject to the arrogance of mistaken thought.
།དེ་ལྟར་མི་གང་གཙང་སྦྲའི་བློ་གྲོས་ཅན། ||| “ ‘In this way, a person who cares about hygiene
།ང་ཡིས་ལུས་འདི་གཙང་མར་བྱ་ཞེས་ཏེ། ||| And exclaims, “I will make this body clean,”
།བསྐུས་ཕྱིས་འབབ་སྟེགས་བརྒྱར་ནི་ཁྲུས་བྱས་ཀྱང་། ||| May wash at a hundred bathing ghats,
།འཆི་བདག་དབང་གིས་ཟད་འགྱུར་གཙང་མི་འགྱུར། ||| Yet it never becomes clean before it is destroyed by the power of the Lord of Death.’ ”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡང་ཁྱིམ་བདག་དཔས་བྱིན་དང་། ཁྱིམ་བདག་ལྔ་བརྒྱ་ཙམ་དེ་དག་ལ་བཀའ་སྩལ་པ། ཁྱིམ་བདག་རྣམས་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འདོད་པས་རྣམ་པ་བཞི་བཅུ་རྩ་བཞིས་ལུས་ལ་བརྟག་པར་བྱ་སྟེ། ||| Thereupon, the Blessed One said to the householder Vīradatta and the five hundred householders, “In this regard, householders, a bodhisattva mahāsattva who wishes to fully awaken to unsurpassable complete and perfect awakening should consider the body in forty-four aspects.
རྣམ་པ་བཞི་བཅུ་རྩ་བཞི་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are these forty-four aspects?
ཁྱིམ་བདག་རྣམས་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་ལུས་ཡིད་དུ་མི་འོང་བ་དང་། རང་བཞིན་གྱིས་མི་འཐུན་པ་སྟེ། སྨད་པར་བརྟག་པར་བྱ། ||| Householders, they are as follows: (1) A bodhisattva mahāsattva should consider the body as unpleasant, disagreeable by nature, and disgusting.
བྱང་ཆུབ་སེམས་དཔས་ལུས་རྣག་ཟག་པ་སྟེ། དྲི་མི་ཞིམ་པར་བརྟག་པར་བྱ། ||| (2) A bodhisattva should consider the body as contaminated with mucous and therefore having an offensive smell.
བྱང་ཆུབ་སེམས་དཔས་ལུས་མཐར་འཇིག་པ་སྟེ། སྙིང་པོ་མེད་པར་བརྟག་པར་བྱ། ||| (3) A bodhisattva should consider that body as disintegrating at the end and therefore without essence.
བྱང་ཆུབ་སེམས་དཔས་ལུས་རྒྱུས་པའི་བོག་རེས་སྦྲེལ་བ་སྟེ། ཉམ་ཆུང་བར་བརྟག་པར་བྱ། ||| (4) A bodhisattva should consider the body as stitched together with tendons and therefore having little strength.
བྱང་ཆུབ་སེམས་དཔས་ལུས་མི་གཙང་བ་ཟག་པ་སྟེ། མི་གཙང་བར་བརྟག་པར་བྱ། ||| (5) A bodhisattva should consider the body as contaminated with filth and therefore impure.
བྱང་ཆུབ་སེམས་དཔས་ལུས་ཡང་དག་པ་མ་ཡིན་པ་སྟེ། སྒྱུ་མ་ལྟ་བུར་བརྟག་པར་བྱ། ||| (6) The bodhisattva should consider the body unreal and therefore like an illusion.
བྱང་ཆུབ་སེམས་དཔས་ལུས་སྐྱེ་བོ་མི་མཁས་པ་བྱིས་པ་སོ་སོའི་སྐྱེ་བོ་རྣམས་འཁྲུག་པར་བྱེད་པར་བརྟག་པར་བྱ། ||| (7) A bodhisattva should consider the body as something that agitates unwise, childish, ordinary individuals.
བྱང་ཆུབ་སེམས་དཔས་ལུས་འཇིག་པ་དང་། བུ་ག་དགུའི་སྒོ་ནས་འཛག་པར་བརྟག་པར་བྱ། ||| (8) A bodhisattva should consider the body as deteriorating and oozing through its nine orifices.
བྱང་ཆུབ་སེམས་དཔས་ལུས་འདོད་ཆགས་ཀྱི་མེས་ཀུན་ཏུ་འབར་བར་བརྟག་པར་བྱ། ||| (9) A bodhisattva should consider the body as being ablaze with the fire of sensual desire.
བྱང་ཆུབ་སེམས་དཔས་ལུས་ཞེ་སྡང་གི་མེས་ཚིག་པར་བརྟག་པར་བྱ། ||| (10) A bodhisattva should consider the body as burning with the fire of hatred.
བྱང་ཆུབ་སེམས་དཔས་ལུས་གཏི་མུག་གི་མེས་མེ་ལྕེ་གཅིག་ཏུ་གྱུར་པར་བརྟག་པར་བྱ། ||| (11) A bodhisattva should consider the body as turning into flames with the fire of delusion.
བྱང་ཆུབ་སེམས་དཔས་ལུས་འདོད་ཆགས་དང་། ཞེ་སྡང་དང་། གཏི་མུག་རྣམས་ཀྱིས་ལྡོངས་པར་བརྟག་པར་བྱ། ||| (12) A bodhisattva should consider the body as blinded by sensual desire, hatred, and bewilderment.
བྱང་ཆུབ་སེམས་དཔས་ལུས་འདོད་ཆགས་ཀྱི་དྲ་བས་ཁེབས་ཤིང་སྲེད་པའི་དྲ་བར་ཆུད་པར་བརྟག་པར་བྱ། ||| (13) A bodhisattva should consider the body as enmeshed in the net of sensual desire and thrust into the net of craving.
བྱང་ཆུབ་སེམས་དཔས་ལུས་ཀུན་ནས་བུ་གས་ཡོངས་སུ་གང་བས་བུ་གའི་གནས་སུ་བརྟག་པར་བྱ། ||| (14) A bodhisattva should consider the body as totally riddled with pores and thus a repository of pores.
བྱང་ཆུབ་སེམས་དཔས་ལུས་ནད་བཞི་བརྒྱ་རྩ་བཞེས་གཙེས་པར་བརྟག་པར་བྱ། ||| (15) A bodhisattva should consider the body as ravaged by four hundred and four diseases.
བྱང་ཆུབ་སེམས་དཔས་ལུས་སྲིན་བུའི་རིགས་བརྒྱད་ཁྲི་བཞི་སྟོང་གི་གནས་སུ་བརྟག་པར་བྱ། ||| (16) A bodhisattva should consider the body as a haven for 84,000 species of parasites.
བྱང་ཆུབ་སེམས་དཔས་ལུས་འཆི་བའི་ཆོས་ཉིད་ཡིན་པས་མི་རྟག་པར་བརྟག་པར་བྱ། ||| (17) A bodhisattva should consider the body as impermanent since it is of the nature of dying.
བྱང་ཆུབ་སེམས་དཔས་ལུས་ཆོས་ལ་རྨོངས་པས་བེམས་པོ་ཡིན་པར་བརྟག་པར་བྱ། ||| (18) A bodhisattva should consider the body as insentient since it is deluded regarding phenomena.
