འཕགས་པ་དམ་པའི་ཆོས་དྲན་པ་ཉེ་བར་གཞག་པ། ||| The Noble Application of Mindfulness of the Sacred Dharma
དེར་སྐྱེས་ནས་ཀྱང་ཚིག་གི་རྒྱུ་འཇམ་པ་དང་། ཕན་པ་དང་། སྙན་པ་དང་ལྡན་པར་འགྱུར་ཞིང་རྫུ་འཕྲུལ་ཆེ་བ་དང་། མཐུ་ཆེ་བར་འགྱུར་རོ། ། ||| Even then, their words will be gentle, beneficial, and delightful, and they will possess great miracles and great powers.
སྔ་མ་བཞིན་དུ་གལ་ཏེ་ངེས་པར་འབྱུང་བའི་བསམ་གཏན་བདེ་བའི་གནས་ཟག་པ་མེད་པར་ཡོངས་སུ་བསྔོ་ན། དེ་བྱང་ཆུབ་གསུམ་འཐོབ་པར་འགྱུར་རོ། ། ||| As before, if this is dedicated in an undefiled manner toward the blissful abode of the concentration of deliverance, one will attain the three kinds of awakening.
དེ་ནས་གཞན་ཡང་མི་དགེ་བའི་ལས་ཀྱི་ལམ་ཚིག་ཀྱལ་པ་སྤངས་པས་ཚེ་འདི་ལ་ཇི་ལྟར་འཐོབ་པར་འགྱུར་བ་དང་། ཕྱི་མ་ལ་གང་དུ་སྐྱེ་བར་འགྱུར་ཞེ་ན། ||| “Which effects of giving up the unvirtuous action of chatter will be attained in this life, and what form of rebirth does such relinquishment lead to?
རྣལ་འབྱོར་སྤྱོད་པ་ནང་གི་ཆོས་ལ་ཆོས་ཀྱི་རྗེས་སུ་ལྟ་ཞིང་གནས་པ་དེས་ཐོས་པ་ལས་བྱུང་བའི་ཤེས་པའམ། ལྷའི་མིག་གིས་མཐོང་སྟེ། ||| Spiritual practitioners who carefully observe inner phenomena see this by means of knowledge derived from hearing or through the divine eye.
ཚིག་ཀྱལ་པ་སྤངས་པ་ནི་འཇིག་རྟེན་ན་རིགས་བཙུན་པར་འགྱུར་ཞིང་དེ་བཀུར་བར་ཡང་འགྱུར། ||| Those who give up chatter will be of a pure family and held in high esteem.
ཚིག་སྔ་ཕྱི་འབྲེལ་བར་འགྱུར་ཞིང་ཚིག་ལ་སྐྱེ་བོ་ཐམས་ཅད་མངོན་པར་དགའ་བར་འགྱུར། ||| Their words will be meaningful and greatly appreciated by everyone.
དེ་ལ་སྐྱོན་གྱིས་སུ་ཡང་རྣམ་པར་འཚེ་བར་མི་བྱེད་ལ་ ||| They will never be punished for verbal mistakes.
ཚིག་ཤིན་ཏུ་འབྲེལ་ཅིང་འཇིག་རྟེན་ན་བཙུན་པར་འགྱུར་ཏེ། ||| Their speech will be perfectly articulate and respected in the world.
དལ་བ་དང་། སྙན་པ་དང་། ཁོང་དུ་ཆུད་པ་དང་། ཆོས་དང་ལྡན་པ་དང་། འཇམ་པ་དང་། ཟབ་མོའི་རྒྱུའི་ཚུལ་དང་། ཆོས་ཉིད་དང་མི་འགལ་བའི་གཏམ་སྨྲ་བ་ ||| Thus, their words will be calm, beautiful, clear, meaningful, gentle, profound, and never in conflict with the way things are.
འཇིག་རྟེན་ན་བླ་མ་དང་འདྲ་བར་ལྟ་ཞིང་ནོར་རྫས་བརྟན་པར་ཡང་འགྱུར། ||| The world will regard them as teachers and their wealth will be secure.
ལོག་པར་སྤངས་པ་ཡང་སྐྱེ་བོ་ཕ་རོལ་དག་གིས་ཡོན་ཏན་དུ་འཛིན་པར་འགྱུར་ཞིང་དེའི་ཡོན་ཏན་དེས་སྐྱེ་བོ་དག་གཟུང་བར་འགྱུར་རོ། ། ||| Others will acknowledge their relinquishment of error as an excellent quality, and they will be inspired to uphold such virtues themselves.
ལུས་དང་བྲལ་ནས་ཀྱང་བདེ་འགྲོ་མཐོ་རིས་ལྷ་རྣམས་ཀྱི་འཇིག་རྟེན་དུ་སྐྱེ་བར་འགྱུར་ཏེ། ||| When they separate from their bodies, such people will take birth in the joyful higher realms.
དེར་སྐྱེས་ནས་ཀྱང་ལྷའི་བུ་ཐམས་ཅད་སེམས་པར་འགྱུར་ཞིང་རྫུ་འཕྲུལ་ཆེ་བ་དང་། ལྷའི་བདེ་བ་དཔེ་མེད་པ་ལ་སྤྱོད་པར་འགྱུར་རོ། ། ||| Once born there they will be held in regard by all the gods. Their miraculous powers will be great, and they will enjoy unparalleled divine pleasures.
སྔ་མ་བཞིན་དུ་གལ་ཏེ་རྣམ་པར་བྱང་བ་ཟག་པ་མེད་པའི་བསམ་གཏན་གྱི་བདེ་བར་ཡོངས་སུ་བསྔོ་ན། དེ་བྱང་ཆུབ་གསུམ་འཐོབ་པར་འགྱུར་རོ། ། ||| As before, if this is dedicated toward the blissful concentration of undefiled purification, one will achieve the three kinds of awakening.
དེ་ལྟར་ལུས་ཀྱི་རྣམ་པ་གསུམ་དང་། ངག་གི་རྣམ་པ་བཞི་མི་དགེ་བ་ཡོངས་སུ་སྤངས་ན་མཐར་མྱ་ངན་ལས་འདས་པར་འགྱུར་རོ། ། ||| “Thus, by giving up the three physical and four verbal forms of unvirtuous action one will eventually transcend suffering.
དེ་ནི་དགེ་བའི་ལས་ཀྱི་རྒྱུ་ཡིན་ལ་འཇིག་རྟེན་ན་ཡང་བསྔགས་པར་འགྱུར་ཞིང་ལྷ་རྣམས་ཀྱི་ནང་དུ་ཡང་སྐྱེ་བར་འགྱུར་རོ། ། ||| Such causes of virtuous action will also yield praise within the world and rebirth among the gods.
དེ་ལུས་དང་ངག་གི་ལས་ཡང་དག་པར་གྱུར་པའི་ལས་ཀྱི་འབྲས་བུ་རྣམ་པར་སྨིན་པའི་རྒྱུ་ནི་རྣལ་འབྱོར་སྤྱོད་པ་ནང་གི་ཆོས་ལ་ཆོས་ཀྱི་རྗེས་སུ་ལྟ་བ་ནང་གི་ཡང་དག་པར་གྱུར་པ་རྗེས་སུ་མཐོང་ངོ་། ། ||| These are the causal factors and ripened effects of authentic physical and verbal action as perceived by spiritual practitioners who carefully observe inner phenomena and are authentic within.
དེ་ནས་གཞན་ཡང་ཡིད་ཀྱི་ལས་ཇི་ལྟར་དགེ་བར་འགྱུར་ཞེ་ན། ||| “How may mental action be virtuous?
རྣལ་འབྱོར་སྤྱོད་པ་ནང་གི་ཆོས་ལ་ཆོས་ཀྱི་རྗེས་སུ་ལྟ་ཞིང་གནས་པ་དེས་ཐོས་པ་ལས་བྱུང་བའི་ཤེས་པའམ། ལྷའི་མིག་གིས་མཐོང་སྟེ། ||| Spiritual practitioners who carefully observe inner phenomena see this by means of knowledge derived from hearing or through the divine eye.
ཡིད་ཀྱི་མི་དགེ་བ་དེ་རྣམ་པ་གསུམ་པོ་དེ་དག་ཟློག་པས་དགེ་བའི་འབྲས་བུ་ཚེ་འདི་ལ་བདེ་བ་གནས་པ་མྱོང་བར་འགྱུར་ཞིང་ལུས་དང་བྲལ་ནས་ཀྱང་བདེ་འགྲོ་མཐོ་རིས་ལྷ་རྣམས་ཀྱི་འཇིག་རྟེན་དུ་སྐྱེ་བར་འགྱུར། ||| By stopping the three unvirtuous mental acts one will, as the result of such virtue, experience happiness in this life and, when separating from the body, take birth among the gods in the joyful higher realms.
གལ་ཏེ་འཁོར་བ་ལ་ཡིད་བྱུང་ན་དེ་རྒྱུ་དེས་ཕུང་པོ་ལྷག་མ་མེད་པའི་མྱ་ངན་ལས་འདས་པའི་དབྱིངས་སུ་འཇུག་པར་འགྱུར་རོ། ། ||| Furthermore, if one becomes disenchanted with cyclic existence, it will cause one to enter the field of nirvāṇa without any remainder of the aggregates.
ཡིད་ཀྱི་ལས་ནི་རྣམ་པ་གསུམ་སྟེ། བརྣབ་སེམས་དང་། གནོད་སེམས་དང་། ལོག་པར་ལྟ་བའོ། ། ||| “The three mental acts are covetousness, ill will, and wrong view.
དེ་ནས་གཞན་ཡང་བརྣབ་སེམས་སྤངས་པས་དགེ་བའི་ལས་ཀྱི་འབྲས་བུ་རྣམ་པར་སྨིན་པ་ཇི་ལྟ་བུ་ཞིག་འབྱུང་ཞེ་ན། ||| Among these three unvirtuous courses of action, what effects will be ripened by specifically giving up covetousness?
རྣལ་འབྱོར་སྤྱོད་པ་ནང་གི་ཆོས་ལ་ཆོས་ཀྱི་རྗེས་སུ་ལྟ་ཞིང་གནས་པ་དེས་ཐོས་པ་ལས་བྱུང་བའི་ཤེས་པའམ། ལྷའི་མིག་གིས་མཐོང་སྟེ། ||| Spiritual practitioners who carefully observe inner phenomena see this by means of knowledge derived from hearing or through the divine eye.
བརྣབ་སེམས་སྤངས་པ་ནི་རྒྱལ་པོའམ། རྒྱལ་པོའི་བློན་པོའི་ནོར་རྫས་ཀྱི་རྣམ་པ་མང་པོ་ཐམས་ཅད་གང་ལ་ཡང་ཡིད་ཀྱིས་དབྲོག་པའི་དོན་དུ་སེམས་པར་མི་བྱེད་པ་ཡིན་ནོ། ། ||| By giving up covetousness one will not harbor any intent to take possession of the diverse and abundant wealth of kings or royal ministers.
དེའི་ནོར་རྫས་གཞིག་ཏུ་སྟོར་ན་ཡང་གཞན་གྱིས་རྙེད་ཅིང་དེ་ལ་སྐྱེ་བོ་དེ་དང་། གཙོ་བོར་གྱུར་པ་ཞིག་ན་ཡང་སླར་སྦྱིན་པར་བྱེད་དེ། ||| Should the wealth of such a person be lost, those who find it will return it, even if they are in a superior position.
ནོར་དང་རྟག་ཏུ་ལྡན་ཞིང་གཞན་དག་གིས་མི་ཐུབ་པར་འགྱུར་རོ། ། ||| Those who abandon covetousness will always be wealthy and never subjugated by others.
ལུས་དང་བྲལ་ནས་ཀྱང་བདེ་འགྲོ་མཐོ་རིས་ལྷ་རྣམས་ཀྱི་འཇིག་རྟེན་དུ་སྐྱེ་བར་འགྱུར་ལ། ||| When they separate from their bodies, such people will take birth among the gods in the joyful higher realms.
དེར་སྐྱེས་ནས་ཀྱང་ལྷ་དང་ལྷ་མ་ཡིན་དུ་གཡུལ་འགྱེད་པའི་ཚེ་ལྷ་མ་ཡིན་གང་གིས་ཀྱང་ཡོངས་སུ་ཐུབ་པར་མི་འགྱུར་ཞིང་ ||| Thus, born as gods, no asura will be able to defeat them in the battles between gods and asuras.
རྡེག་པར་མི་འགྱུར་ལ། རྣམ་པར་ཐོ་འཚམ་པར་མི་འགྱུར་རོ། ། ||| No asura will be able to strike them, or even simply mock them.
དེ་དག་ལས་རྣམ་པར་ཕྱེ་བར་མི་འགྱུར་ཏེ། ལྷའི་བུ་ཐམས་ཅད་ལ་འདོད་པ་དང་། སྡུག་པ་དང་། ཡིད་དུ་འོང་བར་འགྱུར་ཞིང་། ||| They will never be shunned by the other gods, who will always regard them as agreeable, delightful, and attractive.
སྒྲ་དང་། རེག་བྱ་དང་། རོ་དང་། གཟུགས་དང་། དྲི་སྡུག་པ་དཔེ་མེད་པ་ཉེ་བར་སྤྱོད་པར་འགྱུར་རོ། ། ||| They will experience unparalleled sounds, textures, tastes, forms, and scents.
སྔ་མ་བཞིན་དུ་གལ་ཏེ་ངེས་པར་འབྱུང་བ་ཟག་པ་མེད་པའི་བསམ་གཏན་གྱི་འབྲས་བུའི་ལམ་དུ་ཡོངས་སུ་བསྔོ་ན། དེ་བྱང་ཆུབ་གསུམ་འཐོབ་པར་འགྱུར་རོ། ། ||| As before, if this is dedicated toward the effect of the undefiled concentration of deliverance, one will attain the three kinds of awakening.
དེ་ནས་གཞན་ཡང་གནོད་སེམས་མི་དགེ་བའི་ལས་ཀྱི་ལམ་སྤངས་པས་དགེ་བའི་ལས་ཀྱི་འབྲས་བུ་ཇི་ལྟར་འཐོབ་པར་འགྱུར་ཞེ་ན། ||| “What effects of virtuous action will be attained by giving up the unvirtuous action of ill will?
རྣལ་འབྱོར་སྤྱོད་པ་ནང་གི་ཆོས་ལ་ཆོས་ཀྱི་རྗེས་སུ་ལྟ་ཞིང་གནས་པ་དེས་ཐོས་པ་ལས་བྱུང་བའི་ཤེས་པའམ། ལྷའི་མིག་གིས་མཐོང་སྟེ། ||| Spiritual practitioners who carefully observe inner phenomena see this by means of knowledge derived from hearing or through the divine eye.
གནོད་སེམས་སྤངས་པས་ཚེ་འདི་ཉིད་ལ་འབྱོར་པ་དང་བདེ་བར་གནས་པར་འགྱུར་ལ། ||| By giving up ill will, one will be wealthy and happy in the present life.
སྐྱེ་བོ་ཐམས་ཅད་དགའ་བ་དང་། ཡིད་དུ་འོང་བར་འགྱུར། ||| Everybody will regard one with joy and delight.
ཕ་རོལ་གྱིས་འཇིགས་ཤིང་ཉམ་ང་བ་མི་བཟད་པ་ཆེན་པོ་དང་རྣམ་པར་གཙེ་བར་མི་ནུས་ཤིང་། ||| Nobody will be able to inflict great and unbearable terror, misfortune, or harm.
རྒྱལ་པོའི་འཁོར་གྱི་འཇིགས་པ་དང་། ཆོམ་རྐུན་དང་། གཡང་སའི་འཇིགས་པ་དང་། མེའི་འཇིགས་པ་དང་། གནོད་པའི་འཇིགས་པ་དང་། གཡོའི་འཇིགས་པ་དང་། ཆུའི་འཇིགས་པ་དང་། འཇིགས་པ་དུ་མ་ཉམ་ང་བ་དག་དང་བྲལ་ཞིང་ ||| One will not have to fear the authorities, robbers and thieves, falling into an abyss, other people, injury, deceit, floods, or many other such unpleasant terrors.
འཇིགས་པ་དང་། ཉམ་ང་བ་དག་ལས་ཀུན་ཏུ་ཐར་ཏེ ||| Thus one will be free from fear and misfortune.
སྐྱེ་བོ་ཐམས་ཅད་ཀྱི་སྡུག་པ་དང་། མཆོག་ཏུ་དགའ་བར་འགྱུར། ||| Everybody will look upon one with appreciation and delight.
སྡིག་པའི་སྐྱེ་བོ་དང་། དགེ་བའི་སྐྱེ་བོ་ལ་བུ་དང་། སྤུན་དང་འདྲ་བར་སྡུག་པར་འགྱུར་རོ། ། ||| Everyone, whether evil or good, will show one affection as if one were their own child or sibling.
ལུས་དང་བྲལ་ནས་ཀྱང་བདེ་འགྲོ་མཐོ་རིས་ལྷ་རྣམས་ཀྱི་འཇིག་རྟེན་དུ་སྐྱེ་བར་འགྱུར་ཏེ། ||| “When separating from the body, one will take birth among the gods in the joyful higher realms.
དེར་ཡང་རྫུ་འཕྲུལ་ཆེ་བ་དང་། མཐུ་ཆེ་བར་འགྱུར། གཟུགས་དང་། སྒྲ་དང་། རེག་བྱ་འདོད་པ་ཐམས་ཅད་འབྱོར་པ་ལ་གནས་པར་འགྱུར་ཞིང་ ||| There, one will master great miraculous feats and powers, and enjoy a wealth of delightful forms, sounds, and textures.
དགའ་བའི་ཚལ་དང་། ཡོངས་སུ་འདུ་བ་དང་། རྣམ་པར་མཛེས་པ་དང་། ||| One will enjoy delightful parks, perfectly arrayed and of the most beautiful kind.
ཤིང་རྟ་སྣ་ཚོགས་ཀྱི་ཚལ་ཆེན་པོ་རྣམས་སུ་ལྷའི་བུ་མོའི་ཚོགས་ཀྱིས་ཡོངས་སུ་བསྐོར་བར་འགྱུར། དེའི་ལུས་དང་། ངག་དང་། ཡིད་ལ་ལྷ་གང་གིས་ཀྱང་རྣམ་པར་གཙེ་བར་མི་ནུས་ཤིང་། ||| In sprawling gardens filled with delights one will be the center of attention for great gatherings of goddesses, and no god will be able to bring any harm upon one’s body, voice, or mind.
དེ་ལ་ལྷ་འབུམ་སྙེད་དག་གིས་དགའ་བ་སྐྱེད་པར་འགྱུར་ལ། ལྷའི་རྒྱལ་པོ་བརྒྱ་བྱིན་གྱི་འདོད་པ་དང་། སྡུག་པ་དང་། དགའ་བ་དང་། ཡིད་དུ་འོང་བར་འགྱུར། ||| Instead, hundreds of thousands of gods will make one happy, and one will be as successful, attractive, happy, and appealing as Śakra, king of the gods.
ལྷ་དང་ལྷ་མ་ཡིན་གྱི་གཡུལ་འགྱེད་པའི་ཉོན་མོངས་པ་དག་ཀྱང་མེད་ཅིང་འཁྲུག་པ་དག་དང་འབྲལ་བར་འགྱུར་རོ། ། ||| Never afflicted by the warfare between gods and asuras, one will remain free from all conflicts.
གལ་ཏེ་ངེས་པར་འབྱུང་བ་འཇིག་རྟེན་ལས་འདས་པའི་ལམ་ཉོན་མོངས་པ་མེད་པར་ཡོངས་སུ་བསྔོ་ན། དེ་ལྷའི་འཇིག་རྟེན་དེ་ནས་ཤི་ནས་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་གླིང་བཞི་ལ་དབང་བ་རིན་པོ་ཆེ་སྣ་བདུན་ལ་ཉེ་བར་སྤྱོད་པ་རྣམ་པ་དུ་མར་འགྱུར་ཏེ། འདི་ལྟ་སྟེ། ||| “When this is dedicated without affliction toward the supramundane path of deliverance, one will, after dying as a god, become a universal monarch who holds sway over the four continents and partakes of the seven treasures. Those seven treasures are as follows:
བུད་མེད་རིན་པོ་ཆེ་ནི་དེའི་བུད་མེད་ཀྱི་ལུས་ལས་ཙན་དན་དང་སྤོས་འབྱུང་ཞིང་ཁ་ནས་ཨུད་པ་ལའི་དྲི་འབྱུང་། ||| (1) The precious lady whose body emits a scent of sandalwood and incense powder, while her mouth is redolent of blue lotuses.
བྱ་ཀ་ལིང་ག་ལྟར་རེག་ན་བདེ་བར་འགྱུར་ཏེ། ||| She is as delightful to touch as the kaliṅga bird.
བྱ་ཀ་ལིང་ག་ཞེས་བྱ་བ་ནི་རྒྱ་མཚོའི་གླིང་ལ་གནས་པའི་བྱ་ཡིན་ནོ། ། ||| This is a bird inhabiting islands in the ocean that has such power that whoever touches it is freed from physical discomfort.
དེ་ལྟར་འདིའི་མཐུས་གང་ལ་རེག་པ་ཉིད་ཀྱི་ལུས་ཀྱི་ཉོན་མོངས་པ་མེད་པར་འགྱུར་ཞིང་། གླིང་དེ་ན་གནས་པའི་སྐྱེ་བོ་བཀྲེས་པ་དང་། སྐོམ་པ་དང་། མྱ་ངན་དང་བྲལ་བར་འགྱུར། ||| Thus, the people who live on those islands are free from all hunger, thirst, and ailments.
བུད་མེད་དེ་ལྟ་བུ་དེ་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོས་མཐོང་ནས་གྲང་བའི་དུས་སུ་ནི་དྲོ་བར་བྱེད་ཅིང་དྲོ་བའི་དུས་སུ་ནི་བསིལ་བར་བྱེད་དེ། ||| When the universal monarch beholds the precious lady, who is similar to that kaliṅga bird, the sight of her warms him during winter and cools him during summer.
དེ་ལ་མི་གཞན་གང་གིས་ཀྱང་རེག་པར་བྱ་བར་མི་ནུས་སོ། ། ||| All the while, no one but the monarch himself is allowed to touch her.
དེ་གནོད་སེམས་སྤངས་པའི་མཐུས་དགེ་བའི་ལས་ཀྱི་རྗེས་སུ་ཞུགས་པ་དགེ་བ་ཐམས་ཅད་ཡང་དག་པར་རྟོགས་པའི་མི་དེ་དག་ཐམས་ཅད་ཀྱིས་མ་དང་སྲིང་མོ་ལྟར་མཐོང་ངོ་། ། ||| As a result of having given up ill will, this precious lady pursues virtuous actions such that anyone who understands virtue will regard her as their mother or sister.
དེ་ཡང་རྒྱལ་པོ་དེའི་ཡིད་དུ་འོང་ཞིང་དེ་ལ་གུས་པར་བྱེད་ལ་དེའི་སྙིང་དུ་སྡུག་པ་དང་། རྟག་ཏུ་བདེ་བའི་རྗེས་སུ་འཇུག་པར་འགྱུར་རོ། ། ||| The monarch is dear to her and she treats him with respect. She loves him and follows him joyfully.
བུད་མེད་ཀྱི་སྐྱོན་རྣམ་པ་ལྔ་སྤངས་པ་ཡིན་ཏེ། འདི་ལྟ་སྟེ། ||| “The precious lady is free of the following five flaws of a woman:
སྐྱེས་པ་གཞན་ལ་སེམས་པ་དང་། སེར་སྣ་དང་། མི་རིགས་པར་ཆགས་པ་དང་། མི་རིགས་པའི་གནས་ལ་རྗེས་སུ་དགའ་བ་དང་། ཁྱིམ་ཐབ་ཀྱི་སྲོག་གཅད་པར་འཛིན་པའོ། ། ||| having interest in other men, being stingy, having unreasonable attachments, taking inappropriate pleasures, and killing the lord of the household.
བུད་མེད་རིན་པོ་ཆེའི་ཡོན་ཏན་ལྔ་དང་ལྡན་པར་འགྱུར་ཏེ། འདི་ལྟ་སྟེ། ||| Instead the precious lady has these five qualities:
བསམ་པ་དང་འཐུན་པར་འགྱུར་བ་དང་། བུ་མང་པོ་བཙའ་བར་འགྱུར་བ་དང་། རིགས་འཐུན་པར་འགྱུར་བ་དང་། སྲིད་མཐོ་བར་འགྱུར་བ་དང་། ཁྱིམ་ཐབ་བུད་མེད་གཞན་ལ་སེམས་ན་ཕྲག་དོག་མི་བྱེད་པའོ། ། ||| she is obliging, bears many sons, is friendly, is of high status, and is not jealous when the lord of the household shows interest in other women.
གཞན་ཡང་བུད་མེད་ཆེན་མོའི་ཡོན་ཏན་གསུམ་དང་ལྡན་པར་འགྱུར་ཏེ། ||| She also possesses three further qualities of great women:
འདི་ལྟ་སྟེ། ཚིག་ཅལ་ཅོལ་མེད་པར་འགྱུར་བ་དང་། ལོག་པར་ལྟ་བ་མེད་པར་འགྱུར་བ་དང་། ཁྱིམ་ཐབ་མེད་ཀྱང་སྒྲ་དང་། དྲི་དང་། རོ་དང་། རེག་བྱ་དག་གི་དབང་དུ་མི་འགྱུར་བའོ། ། ||| she refrains from idle talk, avoids wrong views, and does not fall under the power of sounds, smells, tastes, or textures, even when her husband is absent.
དེ་རྒྱུ་དེས་ལུས་དང་བྲལ་ནས་བདེ་འགྲོ་མཐོ་རིས་ཀྱི་ལྷ་རྣམས་ཀྱི་འཇིག་རྟེན་དུ་སྐྱེ་བར་འགྱུར་ཏེ། ||| As the result of this, once she separates from her body, she is born among the gods in the joyful higher realms.
དེ་ལྟར་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་བུད་མེད་རིན་པོ་ཆེ་ལ་ཉེ་བར་སྤྱོད་པར་འགྱུར་རོ། ། ||| That is the precious lady belonging to the universal monarch.
དེ་ནས་གཞན་ཡང་གནོད་སེམས་ཀྱི་དྲི་མ་ཆེན་པོ་སྤངས་པས་དགེ་བའི་ལས་ཀྱི་རྣམ་པར་སྨིན་པས་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོར་ཇི་ལྟར་འགྱུར་ཞེ་ན། ||| (2) “What else characterizes the universal monarch, an attainment that is due to the ripening of the virtuous action of relinquishing the great stain of ill will?
རྣལ་འབྱོར་སྤྱོད་པ་ནང་གི་ཆོས་ལ་ཆོས་ཀྱི་རྗེས་སུ་ལྟ་ཞིང་གནས་པ་དེས་ཐོས་པ་ལས་བྱུང་བའི་ཤེས་པའམ། ལྷའི་མིག་གིས་མཐོང་སྟེ། ||| Spiritual practitioners who carefully observe inner phenomena see this by means of knowledge derived from hearing or through the divine eye.
གཞན་གྱི་མི་དགེ་བའི་ལས་ཀྱི་རྒྱུ་འཐུན་པ་གནོད་སེམས་ཆེན་པོ་སྤངས་པས། རིན་པོ་ཆེ་གཉིས་པ་ནོར་བུ་རིན་པོ་ཆེ་ལ་ཉེ་བར་སྤྱོད་པར་འགྱུར་ཏེ། ||| By giving up severe ill will, which is the concordant cause for other unvirtuous actions, one will come to enjoy the second treasure, the precious jewel.
དེའི་ཡོན་ཏན་བརྒྱད་དང་ལྡན་པ་ཡིན་ནོ། ། ||| Such a jewel is endowed with eight qualities.
འདི་ལྟ་སྟེ། མཚན་མོ་རབ་ཏུ་གསལ་བ་ཡིན་ཏེ། ཇི་ལྟར་སྟོན་ཀའི་ཟླ་བ་ཉ་བ་ནི། ||| It shines at night, like the full moon in autumn.
སྟོན་ཀ་འོད་གསལ་བར་འགྱུར་བ་དེ་ལྟར་ནོར་བུ་ཡང་མཚན་མོའི་མུན་པ་མུན་ནག་དག་ལ་དཔག་ཚད་བརྒྱར་འོད་འབྱུང་ཞིང་ ||| Just like the radiant autumn moon, the precious jewel illumines the darkest of nights and it bathes everything within a hundred leagues in its light.
ཉིན་པར་ཚ་བས་གདུངས་པ་རྣམས་ལ་ནི་འོད་བསིལ་བ་འབྱུང་སྟེཚ་བ་སེལ་བར་བྱེད་པ་ ||| Those tormented by heat during the day are cooled by the jewel’s soothing light.
འདི་ནི་ནོར་བུ་དེའི་ཡོན་ཏན་གཅིག་ཡིན་ནོ། ། ||| Thus, cooling others is the jewel’s first quality.
གཞན་ཡང་ཡོན་ཏན་གཉིས་པ་ནི་གང་གི་ཚེ་ལམ་དུ་ཞུགས་པ་ལ་ཆུ་དང་བྲལ་བ་དེའི་ཚེ། སྐོམ་པས་གདུངས་པ་རྣམས་ལ་ཆུ་ཆེན་པོ་ཡན་ལག་བརྒྱད་དང་ལྡན་པ་རབ་ཏུ་འབྱུང་བར་འགྱུར་ལ་དེས་སྐོམ་པ་དེ་དག་ཐམས་ཅད་སེལ་བར་འགྱུར་ཏེ ||| As for the second quality, when travelers suffer from thirst, rivers of water endowed with eight qualities will gush forth from the jewel, quenching everyone’s thirst.
འདི་ནི་ནོར་བུ་དེའི་ཡོན་ཏན་གཉིས་པ་ཡིན་ནོ། ། ||| That is the jewel’s second quality.
གཞན་ཡང་ནོར་བུ་དེའི་ཡོན་ཏན་གསུམ་པ་ནི་གང་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོས་བསམས་པ་ནོར་བུ་དེ་ལས་འབྱུང་སྟེ། ||| Third, whatever the monarch may want, the jewel will provide.
འདི་ནི་ནོར་བུ་དེའི་ཡོན་ཏན་གསུམ་པ་ཡིན་ནོ། ། ||| That is its third quality.
གཞན་ཡང་ནོར་བུ་དེའི་ཡོན་ཏན་བཞི་པ་ནི། ཡན་ལག་བརྒྱད་པར་འགྱུར་ཏེ། དེའི་ཆ་རེ་རེས་འོད་ཀྱི་ཁ་དོག་སྣ་ཚོགས་གཏོང་སྟེ། སྔོན་པོ་དང་། སེར་པོ་དང་། དཀར་པོ་དང་། དམར་པོ་དང་། བཙོད་ཀའི་ཁ་དོག་ལྟ་བུའོ། ། ||| Fourth, the jewel has eight facets, and from each one of them shines multicolored light: blue, yellow, white, red, and the color of madder.
གཞན་ཡང་ནོར་བུ་དེའི་ཡོན་ཏན་ལྔ་པ་ནི་ནོར་བུ་དེ་གང་ན་འདུག་པ་དཔག་ཚད་བརྒྱར་ཉེ་བ་དག་གི་ནད་མེད་པར་འགྱུར། ||| Fifth, all diseases will be healed within a hundred leagues of the jewel.
རྟག་ཏུ་ཡིད་མཉམ་པར་གཞག་པ་དང་དེའི་འདོད་པ་ཐམས་ཅད་ལས་ཇི་ལྟ་བ་བཞིན་དུ་འབྲས་བུ་མེད་པར་མི་འགྱུར་རོ། ། ||| The minds of everyone will enter equipoise, and no wish will go unfulfilled.
གཞན་ཡང་ནོར་བུ་དེའི་ཡོན་ཏན་དྲུག་པ་ནི་ཀླུ་ངན་པས་ཆར་མི་བཟད་པ་མངོན་པར་དབབ་པར་མི་ནུས་སོ། ། ||| Sixth, the jewel prevents evil nāgas from causing calamities.
གཞན་ཡང་ནོར་བུ་དེའི་ཡོན་ཏན་བདུན་པ་ནི་མྱ་ངམ་དང་། གཡང་ས་དང་། དགོན་པ་དང་། ཤིང་ལྗོན་པ་དང་། ཡུལ་དང་བྲལ་བ་རྣམས་ཤིང་ལྗོན་པ་དང་། མཚེའུ་དང་། ཚལ་དང་། པད་མ་དང་། ནགས་ཚལ་དང་། ནེའུ་གསིང་ཕུན་སུམ་ཚོགས་པར་འགྱུར་རོ། ། ||| Seventh, those lost in deserts, ravines, and wilderness, and those who lack trees or a place to stay, will all find perfect trees, ponds, lotuses, forests, and meadows.
གཞན་ཡང་ནོར་བུ་དེའི་ཡོན་ཏན་བརྒྱད་པ་ནི་མི་གང་ཡང་དུས་མ་ཡིན་པར་འཆི་བར་མི་འགྱུར་ཞིང་། དུད་འགྲོའི་འགྲོ་བར་མི་འགྱུར་ཏེ། ||| The jewel’s eighth quality is that it prevents untimely death among humans as well as rebirth in the animal realm.
